"Samples.DateAndTime","Samples.Site","Sites.Name","Samples.Location","Locations.Name","Samples.Sample","Samples.TakenBy","Laboratories.Name","Samples.LabRef","SampleDepths.DepthNo","SampleDepths.DepthTime","SampleDepths.Depth","SampleValues.Param","Params.Name","Params.Units","SampleValues.Val","SampleValues.Qualifier","SampleValues.Quality","Samples.Comments","SampleDepths.Comments","SampleValues.Comments","Params.BioKingdom","Params.BioPhylum","Params.BioClass","Params.BioOrder","Params.BioFamily","Params.BioGenus","Params.BioSpecies","Datasets"
'  Disclaimer
'  Use of the information and data contained within this file is at your sole risk.
'  The data is acquired and published by automatic processes.
'  The data is unchecked and may not be accurate current or complete and it may contain errors.
'  Hydro Tasmania:
'      makes no representations - either expressed or implied - as to the accuracy of the information and data contained in this file
'      accepts no liability however arising for any loss resulting from the use of the information and data in this file or reliance placed on it; and
'      makes no representations - either expressed or implied - as to the suitability of the said information and data for any particular purpose.
'  
'  Copyright 2015 Hydro Electric Corporation.
'  No part of this data may be copied to third parties without the
'  specific written consent of Hydro Tasmania.
'  
'  Script name = 'exportSampleValues'
'  Script version= '233'
'  Exported  by = 'Maxwellc'
'  User parameters:
'    Site ID = '462'
'    Location ID = 'Null'
'    Param ID = 'Null'
'    Start date = '1/1/1989'
'    End date = '28/2/2015'
'  
'  This data is denormalised (see http://en.wikipedia.org/wiki/Denormalization)
'  from the original relational data store.
'  The original data store had the following database table hierarchy which is reflected in the column header names
'      Site
'          Location
'              Samples
'                  SampleDepths
'                      SampleValues
'  
'  SampleValues.Qualifier Definitions
'      >  greater than sample value
'      <  less than sample value
'      T  trace detected
'      E  estimate
'      ?  unreliable value
'  
'  SampleValues.Quality Definitions
'      1 to 21     unverified - no specific data issues identified
'      22          estimated data
'      29          from external source
'      30          unverified
'      32 & 42     estimated data
'      31          poor data
'      41          important comment
'      101         unreliable data
'      140 & 142   unverified data
'      143 to 148  unreliable data
'      149         from external source
'      150 to 255  unreliable or missing
'  
"Samples.DateAndTime","Samples.Site","Sites.Name","Samples.Location","Locations.Name","Samples.Sample","Samples.TakenBy","Laboratories.Name","Samples.LabRef","SampleDepths.DepthNo","SampleDepths.DepthTime","SampleDepths.Depth","SampleValues.Param","Params.Name","Params.Units","SampleValues.Val","SampleValues.Qualifier","SampleValues.Quality","Samples.Comments","SampleDepths.Comments","SampleValues.Comments","Params.BioKingdom","Params.BioPhylum","Params.BioClass","Params.BioOrder","Params.BioFamily","Params.BioGenus","Params.BioSpecies","Datasets"
2015-01-28 11:35:30,462,"WOODS LAKE",8,"WHMS W1 - IFC W1",77032,"KM/WE/BP","Analytical Services","69044",1,2015-01-28 11:35:30,0.200000000,312.00,"Alkalinity - Total","mg/l",21.0,"",4,"'PURPOSE: Water Licence Bi-Monthly WQ', RelatedTo: 76930, EnteredBy: macfarlanek 19/02/2015 12:03","Surface grab sample","Method: Alkalinity in Water to pH 4.5","","","","","","","","SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Bi-Monthly WQ
"
2015-01-28 10:45:30,462,"WOODS LAKE",7,"WHMS South West",77031,"KM/WE/BP","Analytical Services","69044",1,2015-01-28 10:45:30,0.200000000,312.00,"Alkalinity - Total","mg/l",21.0,"",4,"'PURPOSE: Water Licence Bi-Monthly WQ', RelatedTo: 76929, EnteredBy: macfarlanek 19/02/2015 12:03","Surface grab sample","Method: Alkalinity in Water to pH 4.5","","","","","","","","SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Bi-Monthly WQ
"
2015-01-28 11:50:30,462,"WOODS LAKE",6,"WHMS North",77030,"KM/WE/BP","Analytical Services","69044",1,2015-01-28 11:50:30,0.200000000,312.00,"Alkalinity - Total","mg/l",21.0,"",4,"'PURPOSE: Water Licence Bi-Monthly WQ', RelatedTo: 76928, EnteredBy: macfarlanek 19/02/2015 12:03","Surface grab sample","Method: Alkalinity in Water to pH 4.5","","","","","","","","SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Bi-Monthly WQ
"
2015-01-28 11:20:30,462,"WOODS LAKE",5,"WHMS MIDDLE - IFC Mid",77029,"KM/WE/BP","Analytical Services","69044",1,2015-01-28 11:20:30,0.200000000,312.00,"Alkalinity - Total","mg/l",21.0,"",4,"'PURPOSE: Water Licence Bi-Monthly WQ', RelatedTo: 76927, EnteredBy: macfarlanek 19/02/2015 12:03","Surface grab sample","Method: Alkalinity in Water to pH 4.5","","","","","","","","SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Bi-Monthly WQ
"
2015-01-28 11:20:30,462,"WOODS LAKE",5,"WHMS MIDDLE - IFC Mid",77029,"KM/WE/BP","Analytical Services","69044",1,2015-01-28 11:20:30,0.200000000,283.00,"Sulphate - Total as SO4","mg/l",0.4,"",4,"'PURPOSE: Water Licence Bi-Monthly WQ', RelatedTo: 76927, EnteredBy: macfarlanek 19/02/2015 12:03","Surface grab sample","Method: Anions in Water by Ion Chromatography Normal IC method","","","","","","","","SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Bi-Monthly WQ
"
2015-01-28 11:20:30,462,"WOODS LAKE",5,"WHMS MIDDLE - IFC Mid",77029,"KM/WE/BP","Analytical Services","69044",1,2015-01-28 11:20:30,0.200000000,268.18,"Phosphorous - Reactive - Filtered","mg/l",0.006,"",4,"'PURPOSE: Water Licence Bi-Monthly WQ', RelatedTo: 76927, EnteredBy: macfarlanek 19/02/2015 12:03","Surface grab sample","Method: Dissolved Nutrients by FIA","","","","","","","","SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Bi-Monthly WQ
"
