Date and time,Channel Flow (Cumecs),Quality,Interpolation type,Remarks
,,,,Disclaimer
,,,,Use of the information and data contained within this file is at your sole risk.
,,,,"The data is telemetered data, which is transmitted and published by automatic processes."
,,,,"The data is unchecked and may not be accurate, current or complete and it may contain errors."
,,,,Hydro Tasmania:
,,,,"  . makes no representations, either expressed or implied, as to the accuracy of the information and data contained in this file"
,,,,  . accepts no liability however arising for any loss resulting from the use of the information and data in this file or reliance placed on it; and
,,,,"  . makes no representations, either expressed or implied, as to the suitability of the said information and data for any particular purpose."
,,,,
,,,,Copyright 2014 Hydro Electric Corporation.
,,,,No part of this data may be copied to third parties without the
,,,,specific written consent of Hydro Tasmania.
,,,,Time-series interpolation types
,,,,"  InstVal = Instantaneous Value, linear interpolation between observations. For example continuous watercourse level."
,,,,  PrecVal = Preceeding period average value. For example daily avergae flow for the 1st day of Jan 2012 would have timestamp 02/01/2012 00:00
,,,,  PrecMax = Preceding period maximum value. For example maximum weekly watercourse discharge
,,,,  PrecMin = Preceding period minimum value. For example daily minimum temperature
,,,,  PrecTot = Preceding period total value. For example daily total rainfall for the 1st day of Jan 2012 would have date stamp 02/01/2012 00:00
,,,,"  InstTot = Instantaneous total, total value that ocurred at an event"
,,,,"  NoJoin  = Discontinuous value, collection occurs infrequently and interpolation or integration not possible"
,,,,"  SuccVal = Succeeding period Value, value holds until changed"
,,,,  PrecDir = Preceding period directional value.  For example wind direction
,,,,site = LAKE RIVER BELOW WOODS LAKE DAM
,,,,location = 20M D/S WOODS DAM
09-04-2002 00:00,0.926,unverified data,PrecVal,
10-04-2002 00:00,0.923,unverified data,PrecVal,
11-04-2002 00:00,0.682,unverified data,PrecVal,
12-04-2002 00:00,0.558,unverified data,PrecVal,
13-04-2002 00:00,0.557,unverified data,PrecVal,
14-04-2002 00:00,0.556,unverified data,PrecVal,
15-04-2002 00:00,0.554,unverified data,PrecVal,
16-04-2002 00:00,0.554,unverified data,PrecVal,
17-04-2002 00:00,0.553,unverified data,PrecVal,
18-04-2002 00:00,0.554,unverified data,PrecVal,
19-04-2002 00:00,0.557,unverified data,PrecVal,
20-04-2002 00:00,0.557,unverified data,PrecVal,
21-04-2002 00:00,0.557,unverified data,PrecVal,
22-04-2002 00:00,0.555,unverified data,PrecVal,
23-04-2002 00:00,0.554,unverified data,PrecVal,
24-04-2002 00:00,0.554,unverified data,PrecVal,
25-04-2002 00:00,0.557,unverified data,PrecVal,
26-04-2002 00:00,0.554,unverified data,PrecVal,
27-04-2002 00:00,0.541,unverified data,PrecVal,
28-04-2002 00:00,0.521,unverified data,PrecVal,
29-04-2002 00:00,0.524,unverified data,PrecVal,
30-04-2002 00:00,0.528,unverified data,PrecVal,
01-05-2002 00:00,0.526,unverified data,PrecVal,
02-05-2002 00:00,0.524,unverified data,PrecVal,
03-05-2002 00:00,0.526,unverified data,PrecVal,
04-05-2002 00:00,0.529,unverified data,PrecVal,
05-05-2002 00:00,0.529,unverified data,PrecVal,
06-05-2002 00:00,0.532,unverified data,PrecVal,
07-05-2002 00:00,0.528,unverified data,PrecVal,
08-05-2002 00:00,0.529,unverified data,PrecVal,
09-05-2002 00:00,0.53,unverified data,PrecVal,
10-05-2002 00:00,0.531,unverified data,PrecVal,
11-05-2002 00:00,0.52,unverified data,PrecVal,
12-05-2002 00:00,0.517,unverified data,PrecVal,
13-05-2002 00:00,0.518,unverified data,PrecVal,
14-05-2002 00:00,0.516,unverified data,PrecVal,
15-05-2002 00:00,0.513,unverified data,PrecVal,
16-05-2002 00:00,0.51,unverified data,PrecVal,
17-05-2002 00:00,0.514,unverified data,PrecVal,
18-05-2002 00:00,0.511,unverified data,PrecVal,
19-05-2002 00:00,0.504,unverified data,PrecVal,
20-05-2002 00:00,0.504,unverified data,PrecVal,
21-05-2002 00:00,0.506,unverified data,PrecVal,
22-05-2002 00:00,0.501,unverified data,PrecVal,
23-05-2002 00:00,0.487,unverified data,PrecVal,
24-05-2002 00:00,0.482,unverified data,PrecVal,
25-05-2002 00:00,0.434,unverified data,PrecVal,
26-05-2002 00:00,0.381,unverified data,PrecVal,
27-05-2002 00:00,0.381,unverified data,PrecVal,
28-05-2002 00:00,0.381,unverified data,PrecVal,
29-05-2002 00:00,0.381,unverified data,PrecVal,
30-05-2002 00:00,0.38,unverified data,PrecVal,
31-05-2002 00:00,0.381,unverified data,PrecVal,
01-06-2002 00:00,0.381,unverified data,PrecVal,
02-06-2002 00:00,0.381,unverified data,PrecVal,
03-06-2002 00:00,0.38,unverified data,PrecVal,
04-06-2002 00:00,0.381,unverified data,PrecVal,
05-06-2002 00:00,0.381,unverified data,PrecVal,
06-06-2002 00:00,0.378,unverified data,PrecVal,
07-06-2002 00:00,0.381,unverified data,PrecVal,
08-06-2002 00:00,0.379,unverified data,PrecVal,
09-06-2002 00:00,0.382,unverified data,PrecVal,
10-06-2002 00:00,0.381,unverified data,PrecVal,
11-06-2002 00:00,0.375,unverified data,PrecVal,
12-06-2002 00:00,0.209,unverified data,PrecVal,
13-06-2002 00:00,0.106,unverified data,PrecVal,
14-06-2002 00:00,0.016,unverified data,PrecVal,
15-06-2002 00:00,0,unverified data,PrecVal,
16-06-2002 00:00,0,unverified data,PrecVal,
17-06-2002 00:00,0,unverified data,PrecVal,
18-06-2002 00:00,0,unverified data,PrecVal,
19-06-2002 00:00,0,unverified data,PrecVal,
20-06-2002 00:00,0,unverified data,PrecVal,
21-06-2002 00:00,0,unverified data,PrecVal,
22-06-2002 00:00,0,unverified data,PrecVal,
23-06-2002 00:00,0,unverified data,PrecVal,
24-06-2002 00:00,0,unverified data,PrecVal,
25-06-2002 00:00,0,unverified data,PrecVal,
26-06-2002 00:00,0,unverified data,PrecVal,
27-06-2002 00:00,0,unverified data,PrecVal,
28-06-2002 00:00,0,unverified data,PrecVal,
29-06-2002 00:00,0,unverified data,PrecVal,
30-06-2002 00:00,0,unverified data,PrecVal,
01-07-2002 00:00,0,unverified data,PrecVal,
02-07-2002 00:00,0,unverified data,PrecVal,
03-07-2002 00:00,0,unverified data,PrecVal,
04-07-2002 00:00,0,unverified data,PrecVal,
05-07-2002 00:00,0,unverified data,PrecVal,
06-07-2002 00:00,0,unverified data,PrecVal,
07-07-2002 00:00,0,unverified data,PrecVal,
08-07-2002 00:00,0,unverified data,PrecVal,
09-07-2002 00:00,0,unverified data,PrecVal,
10-07-2002 00:00,0,unverified data,PrecVal,
11-07-2002 00:00,0,unverified data,PrecVal,
12-07-2002 00:00,0,unverified data,PrecVal,
13-07-2002 00:00,0,unverified data,PrecVal,
14-07-2002 00:00,0,unverified data,PrecVal,
15-07-2002 00:00,0,unverified data,PrecVal,
16-07-2002 00:00,0,unverified data,PrecVal,
17-07-2002 00:00,0,unverified data,PrecVal,
18-07-2002 00:00,0,unverified data,PrecVal,
19-07-2002 00:00,0,unverified data,PrecVal,
20-07-2002 00:00,0,unverified data,PrecVal,
21-07-2002 00:00,0,unverified data,PrecVal,
22-07-2002 00:00,0,unverified data,PrecVal,
23-07-2002 00:00,0,unverified data,PrecVal,
24-07-2002 00:00,0,unverified data,PrecVal,
25-07-2002 00:00,0,unverified data,PrecVal,
26-07-2002 00:00,0,unverified data,PrecVal,
27-07-2002 00:00,0,unverified data,PrecVal,
28-07-2002 00:00,0,unverified data,PrecVal,
29-07-2002 00:00,0,unverified data,PrecVal,
30-07-2002 00:00,0,unverified data,PrecVal,
31-07-2002 00:00,0,unverified data,PrecVal,
01-08-2002 00:00,0.001,unverified data,PrecVal,
02-08-2002 00:00,0.001,unverified data,PrecVal,
03-08-2002 00:00,0.001,unverified data,PrecVal,
04-08-2002 00:00,0.001,unverified data,PrecVal,
05-08-2002 00:00,0.001,unverified data,PrecVal,
06-08-2002 00:00,0.001,unverified data,PrecVal,
07-08-2002 00:00,0.001,unverified data,PrecVal,
08-08-2002 00:00,0.002,unverified data,PrecVal,
09-08-2002 00:00,0.001,unverified data,PrecVal,
10-08-2002 00:00,0.001,unverified data,PrecVal,
11-08-2002 00:00,0.001,unverified data,PrecVal,
12-08-2002 00:00,0.001,unverified data,PrecVal,
13-08-2002 00:00,0.002,unverified data,PrecVal,
14-08-2002 00:00,0.002,unverified data,PrecVal,
15-08-2002 00:00,0.002,unverified data,PrecVal,
16-08-2002 00:00,0.002,unverified data,PrecVal,
17-08-2002 00:00,0.002,unverified data,PrecVal,
18-08-2002 00:00,0.002,unverified data,PrecVal,
19-08-2002 00:00,0.002,unverified data,PrecVal,
20-08-2002 00:00,0.002,unverified data,PrecVal,
21-08-2002 00:00,0.002,unverified data,PrecVal,
22-08-2002 00:00,0.002,unverified data,PrecVal,
23-08-2002 00:00,0.002,unverified data,PrecVal,
24-08-2002 00:00,0.002,unverified data,PrecVal,
25-08-2002 00:00,0.002,unverified data,PrecVal,
26-08-2002 00:00,0.003,unverified data,PrecVal,
27-08-2002 00:00,0.003,unverified data,PrecVal,
28-08-2002 00:00,0.003,unverified data,PrecVal,
29-08-2002 00:00,0.003,unverified data,PrecVal,
30-08-2002 00:00,0.003,unverified data,PrecVal,
31-08-2002 00:00,0.003,unverified data,PrecVal,
01-09-2002 00:00,0.003,unverified data,PrecVal,
02-09-2002 00:00,0.003,unverified data,PrecVal,
03-09-2002 00:00,0.003,unverified data,PrecVal,
04-09-2002 00:00,0.003,unverified data,PrecVal,
05-09-2002 00:00,0.003,unverified data,PrecVal,
06-09-2002 00:00,0.003,unverified data,PrecVal,
07-09-2002 00:00,0.003,unverified data,PrecVal,
08-09-2002 00:00,0.003,unverified data,PrecVal,
09-09-2002 00:00,0.003,unverified data,PrecVal,
10-09-2002 00:00,0.004,unverified data,PrecVal,
11-09-2002 00:00,0.003,unverified data,PrecVal,
12-09-2002 00:00,0.003,unverified data,PrecVal,
13-09-2002 00:00,0.002,unverified data,PrecVal,
14-09-2002 00:00,0.003,unverified data,PrecVal,
15-09-2002 00:00,0.003,unverified data,PrecVal,
16-09-2002 00:00,0.002,unverified data,PrecVal,
17-09-2002 00:00,0.003,unverified data,PrecVal,
18-09-2002 00:00,0.003,unverified data,PrecVal,
19-09-2002 00:00,0.005,unverified data,PrecVal,
20-09-2002 00:00,0.014,unverified data,PrecVal,
21-09-2002 00:00,0.005,unverified data,PrecVal,
22-09-2002 00:00,0.008,unverified data,PrecVal,
23-09-2002 00:00,0.008,unverified data,PrecVal,
24-09-2002 00:00,0.005,unverified data,PrecVal,
25-09-2002 00:00,0.005,unverified data,PrecVal,
26-09-2002 00:00,0.005,unverified data,PrecVal,
27-09-2002 00:00,0.008,unverified data,PrecVal,
28-09-2002 00:00,0.005,unverified data,PrecVal,
29-09-2002 00:00,0.005,unverified data,PrecVal,
30-09-2002 00:00,0.005,unverified data,PrecVal,
01-10-2002 00:00,0.004,unverified data,PrecVal,
02-10-2002 00:00,0.003,unverified data,PrecVal,
03-10-2002 00:00,0.006,unverified data,PrecVal,
04-10-2002 00:00,0.003,unverified data,PrecVal,
05-10-2002 00:00,0.003,unverified data,PrecVal,
06-10-2002 00:00,0.003,unverified data,PrecVal,
07-10-2002 00:00,0.003,unverified data,PrecVal,
08-10-2002 00:00,0.003,unverified data,PrecVal,
09-10-2002 00:00,0.008,unverified data,PrecVal,
10-10-2002 00:00,0.004,unverified data,PrecVal,
11-10-2002 00:00,0.003,unverified data,PrecVal,
12-10-2002 00:00,0.003,unverified data,PrecVal,
13-10-2002 00:00,0.003,unverified data,PrecVal,
14-10-2002 00:00,0.004,unverified data,PrecVal,
15-10-2002 00:00,0.004,unverified data,PrecVal,
16-10-2002 00:00,0.005,unverified data,PrecVal,
17-10-2002 00:00,0.006,unverified data,PrecVal,
18-10-2002 00:00,0.021,unverified data,PrecVal,
19-10-2002 00:00,0.007,unverified data,PrecVal,
20-10-2002 00:00,0.067,unverified data,PrecVal,
21-10-2002 00:00,0.108,unverified data,PrecVal,
22-10-2002 00:00,0.017,unverified data,PrecVal,
23-10-2002 00:00,0.007,unverified data,PrecVal,
24-10-2002 00:00,0.086,unverified data,PrecVal,
25-10-2002 00:00,0.04,unverified data,PrecVal,
26-10-2002 00:00,0.06,unverified data,PrecVal,
27-10-2002 00:00,0.145,unverified data,PrecVal,
28-10-2002 00:00,0.039,unverified data,PrecVal,
29-10-2002 00:00,0.011,unverified data,PrecVal,
30-10-2002 00:00,0.003,unverified data,PrecVal,
31-10-2002 00:00,0.015,unverified data,PrecVal,
01-11-2002 00:00,0.165,unverified data,PrecVal,
02-11-2002 00:00,0.025,unverified data,PrecVal,
03-11-2002 00:00,0.002,unverified data,PrecVal,
04-11-2002 00:00,0.024,unverified data,PrecVal,
05-11-2002 00:00,0.113,unverified data,PrecVal,
06-11-2002 00:00,0.132,unverified data,PrecVal,
07-11-2002 00:00,0.03,unverified data,PrecVal,
08-11-2002 00:00,0.011,unverified data,PrecVal,
09-11-2002 00:00,0.081,unverified data,PrecVal,
10-11-2002 00:00,0.144,unverified data,PrecVal,
11-11-2002 00:00,0.101,unverified data,PrecVal,
12-11-2002 00:00,0.001,unverified data,PrecVal,
13-11-2002 00:00,0.002,unverified data,PrecVal,
14-11-2002 00:00,0.031,unverified data,PrecVal,
15-11-2002 00:00,0.048,unverified data,PrecVal,
16-11-2002 00:00,0.012,unverified data,PrecVal,
17-11-2002 00:00,0.001,unverified data,PrecVal,
18-11-2002 00:00,0.001,unverified data,PrecVal,
19-11-2002 00:00,0.001,unverified data,PrecVal,
20-11-2002 00:00,0.001,unverified data,PrecVal,
21-11-2002 00:00,0.252,unverified data,PrecVal,
22-11-2002 00:00,0.942,unverified data,PrecVal,
23-11-2002 00:00,0.912,unverified data,PrecVal,
24-11-2002 00:00,0.828,unverified data,PrecVal,
25-11-2002 00:00,0.825,unverified data,PrecVal,
26-11-2002 00:00,0.813,unverified data,PrecVal,
27-11-2002 00:00,0.805,unverified data,PrecVal,
28-11-2002 00:00,0.794,unverified data,PrecVal,
29-11-2002 00:00,0.8,unverified data,PrecVal,
30-11-2002 00:00,0.811,unverified data,PrecVal,
01-12-2002 00:00,0.817,unverified data,PrecVal,
02-12-2002 00:00,0.81,unverified data,PrecVal,
03-12-2002 00:00,0.808,unverified data,PrecVal,
04-12-2002 00:00,0.813,unverified data,PrecVal,
05-12-2002 00:00,0.842,unverified data,PrecVal,
06-12-2002 00:00,0.873,unverified data,PrecVal,
07-12-2002 00:00,0.736,unverified data,PrecVal,
08-12-2002 00:00,0.62,unverified data,PrecVal,
09-12-2002 00:00,0.62,unverified data,PrecVal,
10-12-2002 00:00,0.622,unverified data,PrecVal,
11-12-2002 00:00,0.625,unverified data,PrecVal,
12-12-2002 00:00,0.633,unverified data,PrecVal,
13-12-2002 00:00,0.627,unverified data,PrecVal,
14-12-2002 00:00,0.609,unverified data,PrecVal,
15-12-2002 00:00,0.604,unverified data,PrecVal,
16-12-2002 00:00,0.604,unverified data,PrecVal,
17-12-2002 00:00,0.605,unverified data,PrecVal,
18-12-2002 00:00,0.607,unverified data,PrecVal,
19-12-2002 00:00,0.609,unverified data,PrecVal,
20-12-2002 00:00,0.613,unverified data,PrecVal,
21-12-2002 00:00,0.84,unverified data,PrecVal,
22-12-2002 00:00,1.028,unverified data,PrecVal,
23-12-2002 00:00,1.057,unverified data,PrecVal,
24-12-2002 00:00,1.018,unverified data,PrecVal,
25-12-2002 00:00,1.025,unverified data,PrecVal,
26-12-2002 00:00,1.021,unverified data,PrecVal,
27-12-2002 00:00,1.015,unverified data,PrecVal,
28-12-2002 00:00,1.345,unverified data,PrecVal,
29-12-2002 00:00,1.775,unverified data,PrecVal,
30-12-2002 00:00,1.911,unverified data,PrecVal,
31-12-2002 00:00,1.661,unverified data,PrecVal,
01-01-2003 00:00,1.45,unverified data,PrecVal,
02-01-2003 00:00,1.449,unverified data,PrecVal,
03-01-2003 00:00,1.44,unverified data,PrecVal,
04-01-2003 00:00,1.43,unverified data,PrecVal,
05-01-2003 00:00,1.422,unverified data,PrecVal,
06-01-2003 00:00,1.404,unverified data,PrecVal,
07-01-2003 00:00,1.401,unverified data,PrecVal,
08-01-2003 00:00,1.394,unverified data,PrecVal,
09-01-2003 00:00,1.236,unverified data,PrecVal,
10-01-2003 00:00,1.099,unverified data,PrecVal,
11-01-2003 00:00,1.087,unverified data,PrecVal,
12-01-2003 00:00,1.088,unverified data,PrecVal,
13-01-2003 00:00,1.085,unverified data,PrecVal,
14-01-2003 00:00,1.085,unverified data,PrecVal,
15-01-2003 00:00,1.011,unverified data,PrecVal,
16-01-2003 00:00,0.94,unverified data,PrecVal,
17-01-2003 00:00,0.943,unverified data,PrecVal,
18-01-2003 00:00,0.857,unverified data,PrecVal,
19-01-2003 00:00,0.774,unverified data,PrecVal,
20-01-2003 00:00,0.774,unverified data,PrecVal,
21-01-2003 00:00,0.774,unverified data,PrecVal,
22-01-2003 00:00,0.776,unverified data,PrecVal,
23-01-2003 00:00,0.742,unverified data,PrecVal,
24-01-2003 00:00,0.731,unverified data,PrecVal,
25-01-2003 00:00,0.732,unverified data,PrecVal,
26-01-2003 00:00,0.729,unverified data,PrecVal,
27-01-2003 00:00,0.741,unverified data,PrecVal,
28-01-2003 00:00,0.735,unverified data,PrecVal,
29-01-2003 00:00,0.724,unverified data,PrecVal,
30-01-2003 00:00,0.719,unverified data,PrecVal,
31-01-2003 00:00,0.732,unverified data,PrecVal,
01-02-2003 00:00,0.735,unverified data,PrecVal,
02-02-2003 00:00,0.723,unverified data,PrecVal,
03-02-2003 00:00,0.716,unverified data,PrecVal,
04-02-2003 00:00,0.712,unverified data,PrecVal,
05-02-2003 00:00,0.713,unverified data,PrecVal,
06-02-2003 00:00,0.718,unverified data,PrecVal,
07-02-2003 00:00,0.718,unverified data,PrecVal,
08-02-2003 00:00,0.717,unverified data,PrecVal,
09-02-2003 00:00,0.709,unverified data,PrecVal,
10-02-2003 00:00,0.703,unverified data,PrecVal,
11-02-2003 00:00,0.704,unverified data,PrecVal,
12-02-2003 00:00,0.987,unverified data,PrecVal,
13-02-2003 00:00,1.275,unverified data,PrecVal,
14-02-2003 00:00,1.311,unverified data,PrecVal,
15-02-2003 00:00,1.302,unverified data,PrecVal,
16-02-2003 00:00,1.301,unverified data,PrecVal,
17-02-2003 00:00,1.302,unverified data,PrecVal,
18-02-2003 00:00,1.307,unverified data,PrecVal,
19-02-2003 00:00,1.311,unverified data,PrecVal,
20-02-2003 00:00,1.299,unverified data,PrecVal,
21-02-2003 00:00,1.292,unverified data,PrecVal,
22-02-2003 00:00,1.291,unverified data,PrecVal,
23-02-2003 00:00,1.289,unverified data,PrecVal,
24-02-2003 00:00,1.287,unverified data,PrecVal,
25-02-2003 00:00,1.284,unverified data,PrecVal,
26-02-2003 00:00,1.282,unverified data,PrecVal,
27-02-2003 00:00,1.284,unverified data,PrecVal,
28-02-2003 00:00,1.282,unverified data,PrecVal,
01-03-2003 00:00,1.282,unverified data,PrecVal,
02-03-2003 00:00,1.268,unverified data,PrecVal,
03-03-2003 00:00,1.254,unverified data,PrecVal,
04-03-2003 00:00,1.234,unverified data,PrecVal,
05-03-2003 00:00,1.226,unverified data,PrecVal,
06-03-2003 00:00,1.219,unverified data,PrecVal,
07-03-2003 00:00,1.21,unverified data,PrecVal,
08-03-2003 00:00,0.977,unverified data,PrecVal,
09-03-2003 00:00,0.819,unverified data,PrecVal,
10-03-2003 00:00,0.82,unverified data,PrecVal,
11-03-2003 00:00,0.82,unverified data,PrecVal,
12-03-2003 00:00,0.816,unverified data,PrecVal,
13-03-2003 00:00,0.814,unverified data,PrecVal,
14-03-2003 00:00,0.807,unverified data,PrecVal,
15-03-2003 00:00,0.802,unverified data,PrecVal,
16-03-2003 00:00,0.799,unverified data,PrecVal,
17-03-2003 00:00,0.8,unverified data,PrecVal,
18-03-2003 00:00,0.798,unverified data,PrecVal,
19-03-2003 00:00,0.737,unverified data,PrecVal,
20-03-2003 00:00,0.664,unverified data,PrecVal,
21-03-2003 00:00,0.679,unverified data,PrecVal,
22-03-2003 00:00,0.462,unverified data,PrecVal,
23-03-2003 00:00,0.307,unverified data,PrecVal,
24-03-2003 00:00,0.31,unverified data,PrecVal,
25-03-2003 00:00,0.309,unverified data,PrecVal,
26-03-2003 00:00,0.309,unverified data,PrecVal,
27-03-2003 00:00,0.309,unverified data,PrecVal,
28-03-2003 00:00,0.311,unverified data,PrecVal,
29-03-2003 00:00,0.313,unverified data,PrecVal,
30-03-2003 00:00,0.313,unverified data,PrecVal,
31-03-2003 00:00,0.31,unverified data,PrecVal,
01-04-2003 00:00,0.308,unverified data,PrecVal,
02-04-2003 00:00,0.31,unverified data,PrecVal,
03-04-2003 00:00,0.314,unverified data,PrecVal,
04-04-2003 00:00,0.317,unverified data,PrecVal,
05-04-2003 00:00,0.319,unverified data,PrecVal,
06-04-2003 00:00,0.311,unverified data,PrecVal,
07-04-2003 00:00,0.312,unverified data,PrecVal,
08-04-2003 00:00,0.313,unverified data,PrecVal,
09-04-2003 00:00,0.314,unverified data,PrecVal,
10-04-2003 00:00,0.311,unverified data,PrecVal,
11-04-2003 00:00,0.313,unverified data,PrecVal,
12-04-2003 00:00,0.313,unverified data,PrecVal,
13-04-2003 00:00,0.317,unverified data,PrecVal,
14-04-2003 00:00,0.308,unverified data,PrecVal,
15-04-2003 00:00,0.301,unverified data,PrecVal,
16-04-2003 00:00,0.056,unverified data,PrecVal,
17-04-2003 00:00,0.003,unverified data,PrecVal,
18-04-2003 00:00,0.004,unverified data,PrecVal,
19-04-2003 00:00,0.004,unverified data,PrecVal,
20-04-2003 00:00,0.003,unverified data,PrecVal,
21-04-2003 00:00,0.003,unverified data,PrecVal,
22-04-2003 00:00,0.003,unverified data,PrecVal,
23-04-2003 00:00,0.003,unverified data,PrecVal,
24-04-2003 00:00,0.003,unverified data,PrecVal,
25-04-2003 00:00,0.003,unverified data,PrecVal,
26-04-2003 00:00,0.003,unverified data,PrecVal,
27-04-2003 00:00,0.003,unverified data,PrecVal,
28-04-2003 00:00,0.002,unverified data,PrecVal,
29-04-2003 00:00,0.002,unverified data,PrecVal,
30-04-2003 00:00,0.002,unverified data,PrecVal,
01-05-2003 00:00,0.002,unverified data,PrecVal,
02-05-2003 00:00,0.002,unverified data,PrecVal,
03-05-2003 00:00,0.001,unverified data,PrecVal,
04-05-2003 00:00,0.001,unverified data,PrecVal,
05-05-2003 00:00,0.001,unverified data,PrecVal,
06-05-2003 00:00,0.001,unverified data,PrecVal,
07-05-2003 00:00,0.001,unverified data,PrecVal,
08-05-2003 00:00,0.001,unverified data,PrecVal,
09-05-2003 00:00,0.001,unverified data,PrecVal,
10-05-2003 00:00,0.001,unverified data,PrecVal,
11-05-2003 00:00,0.001,unverified data,PrecVal,
12-05-2003 00:00,0.001,unverified data,PrecVal,
13-05-2003 00:00,0.001,unverified data,PrecVal,
14-05-2003 00:00,0.001,unverified data,PrecVal,
15-05-2003 00:00,0.001,unverified data,PrecVal,
16-05-2003 00:00,0.001,unverified data,PrecVal,
17-05-2003 00:00,0.001,unverified data,PrecVal,
18-05-2003 00:00,0.001,unverified data,PrecVal,
19-05-2003 00:00,0.001,unverified data,PrecVal,
20-05-2003 00:00,0.002,unverified data,PrecVal,
21-05-2003 00:00,0.002,unverified data,PrecVal,
22-05-2003 00:00,0.004,unverified data,PrecVal,
23-05-2003 00:00,0.005,unverified data,PrecVal,
24-05-2003 00:00,0.005,unverified data,PrecVal,
25-05-2003 00:00,0.005,unverified data,PrecVal,
26-05-2003 00:00,0.005,unverified data,PrecVal,
27-05-2003 00:00,0.005,unverified data,PrecVal,
28-05-2003 00:00,0.005,unverified data,PrecVal,
29-05-2003 00:00,0.004,unverified data,PrecVal,
30-05-2003 00:00,0.004,unverified data,PrecVal,
31-05-2003 00:00,0.004,unverified data,PrecVal,
01-06-2003 00:00,0.004,unverified data,PrecVal,
02-06-2003 00:00,0.004,unverified data,PrecVal,
03-06-2003 00:00,0.004,unverified data,PrecVal,
04-06-2003 00:00,0.004,unverified data,PrecVal,
05-06-2003 00:00,0.004,unverified data,PrecVal,
06-06-2003 00:00,0.004,unverified data,PrecVal,
07-06-2003 00:00,0.006,unverified data,PrecVal,
08-06-2003 00:00,0.007,unverified data,PrecVal,
09-06-2003 00:00,0.006,unverified data,PrecVal,
10-06-2003 00:00,0.005,unverified data,PrecVal,
11-06-2003 00:00,0.005,unverified data,PrecVal,
12-06-2003 00:00,0.005,unverified data,PrecVal,
13-06-2003 00:00,0.005,unverified data,PrecVal,
14-06-2003 00:00,0.005,unverified data,PrecVal,
15-06-2003 00:00,0.005,unverified data,PrecVal,
16-06-2003 00:00,0.005,unverified data,PrecVal,
17-06-2003 00:00,0.005,unverified data,PrecVal,
18-06-2003 00:00,0.004,unverified data,PrecVal,
19-06-2003 00:00,0.004,unverified data,PrecVal,
20-06-2003 00:00,0.003,unverified data,PrecVal,
21-06-2003 00:00,0.003,unverified data,PrecVal,
22-06-2003 00:00,0.003,unverified data,PrecVal,
23-06-2003 00:00,0.003,unverified data,PrecVal,
24-06-2003 00:00,0.003,unverified data,PrecVal,
25-06-2003 00:00,0.002,unverified data,PrecVal,
26-06-2003 00:00,0.002,unverified data,PrecVal,
27-06-2003 00:00,0.002,unverified data,PrecVal,
28-06-2003 00:00,0.002,unverified data,PrecVal,
29-06-2003 00:00,0.002,unverified data,PrecVal,
30-06-2003 00:00,0.002,unverified data,PrecVal,
01-07-2003 00:00,0.002,unverified data,PrecVal,
02-07-2003 00:00,0.002,unverified data,PrecVal,
03-07-2003 00:00,0.002,unverified data,PrecVal,
04-07-2003 00:00,0.003,unverified data,PrecVal,
05-07-2003 00:00,0.003,unverified data,PrecVal,
06-07-2003 00:00,0.003,unverified data,PrecVal,
07-07-2003 00:00,0.002,unverified data,PrecVal,
08-07-2003 00:00,0.002,unverified data,PrecVal,
09-07-2003 00:00,0.002,unverified data,PrecVal,
10-07-2003 00:00,0.002,unverified data,PrecVal,
11-07-2003 00:00,0.002,unverified data,PrecVal,
12-07-2003 00:00,0.002,unverified data,PrecVal,
13-07-2003 00:00,0.002,unverified data,PrecVal,
14-07-2003 00:00,0.002,unverified data,PrecVal,
15-07-2003 00:00,0.002,unverified data,PrecVal,
16-07-2003 00:00,0.003,unverified data,PrecVal,
17-07-2003 00:00,0.002,unverified data,PrecVal,
18-07-2003 00:00,0.002,unverified data,PrecVal,
19-07-2003 00:00,0.002,unverified data,PrecVal,
20-07-2003 00:00,0.002,unverified data,PrecVal,
21-07-2003 00:00,0.002,unverified data,PrecVal,
22-07-2003 00:00,0.002,unverified data,PrecVal,
23-07-2003 00:00,0.002,unverified data,PrecVal,
24-07-2003 00:00,0.003,unverified data,PrecVal,
25-07-2003 00:00,0.01,unverified data,PrecVal,
26-07-2003 00:00,0.007,unverified data,PrecVal,
27-07-2003 00:00,0.007,unverified data,PrecVal,
28-07-2003 00:00,0.006,unverified data,PrecVal,
29-07-2003 00:00,0.006,unverified data,PrecVal,
30-07-2003 00:00,0.006,unverified data,PrecVal,
31-07-2003 00:00,0.006,unverified data,PrecVal,
01-08-2003 00:00,0.006,unverified data,PrecVal,
02-08-2003 00:00,0.005,unverified data,PrecVal,
03-08-2003 00:00,0.005,unverified data,PrecVal,
04-08-2003 00:00,0.004,unverified data,PrecVal,
05-08-2003 00:00,0.004,unverified data,PrecVal,
06-08-2003 00:00,0.004,unverified data,PrecVal,
07-08-2003 00:00,0.004,unverified data,PrecVal,
08-08-2003 00:00,0.004,unverified data,PrecVal,
09-08-2003 00:00,0.004,unverified data,PrecVal,
10-08-2003 00:00,0.004,unverified data,PrecVal,
11-08-2003 00:00,0.003,unverified data,PrecVal,
12-08-2003 00:00,0.003,unverified data,PrecVal,
13-08-2003 00:00,0.004,unverified data,PrecVal,
14-08-2003 00:00,0.004,unverified data,PrecVal,
