Date and time,Channel Flow (Cumecs),Quality,Interpolation type,Remarks
,,,,Disclaimer
,,,,Use of the information and data contained within this file is at your sole risk.
,,,,"The data is telemetered data, which is transmitted and published by automatic processes."
,,,,"The data is unchecked and may not be accurate, current or complete and it may contain errors."
,,,,Hydro Tasmania:
,,,,"  . makes no representations, either expressed or implied, as to the accuracy of the information and data contained in this file"
,,,,  . accepts no liability however arising for any loss resulting from the use of the information and data in this file or reliance placed on it; and
,,,,"  . makes no representations, either expressed or implied, as to the suitability of the said information and data for any particular purpose."
,,,,
,,,,Copyright 2014 Hydro Electric Corporation.
,,,,No part of this data may be copied to third parties without the
,,,,specific written consent of Hydro Tasmania.
,,,,Time-series interpolation types
,,,,"  InstVal = Instantaneous Value, linear interpolation between observations. For example continuous watercourse level."
,,,,  PrecVal = Preceeding period average value. For example daily avergae flow for the 1st day of Jan 2012 would have timestamp 02/01/2012 00:00
,,,,  PrecMax = Preceding period maximum value. For example maximum weekly watercourse discharge
,,,,  PrecMin = Preceding period minimum value. For example daily minimum temperature
,,,,  PrecTot = Preceding period total value. For example daily total rainfall for the 1st day of Jan 2012 would have date stamp 02/01/2012 00:00
,,,,"  InstTot = Instantaneous total, total value that ocurred at an event"
,,,,"  NoJoin  = Discontinuous value, collection occurs infrequently and interpolation or integration not possible"
,,,,"  SuccVal = Succeeding period Value, value holds until changed"
,,,,  PrecDir = Preceding period directional value.  For example wind direction
,,,,site = LAKE RIVER BELOW WOODS LAKE DAM
,,,,location = 20M D/S WOODS DAM
25-05-1999 00:00,0,unverified data,PrecVal,
26-05-1999 00:00,0,unverified data,PrecVal,
27-05-1999 00:00,0,unverified data,PrecVal,
28-05-1999 00:00,0,unverified data,PrecVal,
29-05-1999 00:00,0,unverified data,PrecVal,
30-05-1999 00:00,0,unverified data,PrecVal,
31-05-1999 00:00,0,unverified data,PrecVal,
01-06-1999 00:00,0,unverified data,PrecVal,
02-06-1999 00:00,0,unverified data,PrecVal,
03-06-1999 00:00,0,unverified data,PrecVal,
04-06-1999 00:00,0,unverified data,PrecVal,
05-06-1999 00:00,0,unverified data,PrecVal,
06-06-1999 00:00,0,unverified data,PrecVal,
07-06-1999 00:00,0,unverified data,PrecVal,
08-06-1999 00:00,0,unverified data,PrecVal,
09-06-1999 00:00,0,unverified data,PrecVal,
10-06-1999 00:00,0,unverified data,PrecVal,
11-06-1999 00:00,0,unverified data,PrecVal,
12-06-1999 00:00,0,unverified data,PrecVal,
13-06-1999 00:00,0,unverified data,PrecVal,
14-06-1999 00:00,0,unverified data,PrecVal,
15-06-1999 00:00,0,unverified data,PrecVal,
16-06-1999 00:00,0,unverified data,PrecVal,
17-06-1999 00:00,0,unverified data,PrecVal,
18-06-1999 00:00,0,unverified data,PrecVal,
19-06-1999 00:00,0,unverified data,PrecVal,
20-06-1999 00:00,0,unverified data,PrecVal,
21-06-1999 00:00,0,unverified data,PrecVal,
22-06-1999 00:00,0,unverified data,PrecVal,
23-06-1999 00:00,0,unverified data,PrecVal,
24-06-1999 00:00,0,unverified data,PrecVal,
25-06-1999 00:00,0,unverified data,PrecVal,
26-06-1999 00:00,0,unverified data,PrecVal,
27-06-1999 00:00,0,unverified data,PrecVal,
28-06-1999 00:00,0,unverified data,PrecVal,
29-06-1999 00:00,0,unverified data,PrecVal,
30-06-1999 00:00,0,unverified data,PrecVal,
01-07-1999 00:00,0,unverified data,PrecVal,
02-07-1999 00:00,0,unverified data,PrecVal,
03-07-1999 00:00,0,unverified data,PrecVal,
04-07-1999 00:00,0,unverified data,PrecVal,
05-07-1999 00:00,0,unverified data,PrecVal,
06-07-1999 00:00,0,unverified data,PrecVal,
07-07-1999 00:00,0,unverified data,PrecVal,
08-07-1999 00:00,0,unverified data,PrecVal,
09-07-1999 00:00,0,unverified data,PrecVal,
10-07-1999 00:00,0,unverified data,PrecVal,
11-07-1999 00:00,0,unverified data,PrecVal,
12-07-1999 00:00,0,unverified data,PrecVal,
13-07-1999 00:00,0,unverified data,PrecVal,
14-07-1999 00:00,0,unverified data,PrecVal,
15-07-1999 00:00,0.001,unverified data,PrecVal,
16-07-1999 00:00,0.001,unverified data,PrecVal,
17-07-1999 00:00,0.001,unverified data,PrecVal,
18-07-1999 00:00,0.001,unverified data,PrecVal,
19-07-1999 00:00,0.002,unverified data,PrecVal,
20-07-1999 00:00,0.005,unverified data,PrecVal,
21-07-1999 00:00,0.004,unverified data,PrecVal,
22-07-1999 00:00,0.004,unverified data,PrecVal,
23-07-1999 00:00,0.005,unverified data,PrecVal,
24-07-1999 00:00,0.004,unverified data,PrecVal,
25-07-1999 00:00,0.004,unverified data,PrecVal,
26-07-1999 00:00,0.003,unverified data,PrecVal,
27-07-1999 00:00,0.003,unverified data,PrecVal,
28-07-1999 00:00,0.003,unverified data,PrecVal,
29-07-1999 00:00,0.003,unverified data,PrecVal,
30-07-1999 00:00,0.002,unverified data,PrecVal,
31-07-1999 00:00,0.002,unverified data,PrecVal,
01-08-1999 00:00,0.002,unverified data,PrecVal,
02-08-1999 00:00,0.002,unverified data,PrecVal,
03-08-1999 00:00,0.001,unverified data,PrecVal,
04-08-1999 00:00,0,unverified data,PrecVal,
05-08-1999 00:00,0,unverified data,PrecVal,
06-08-1999 00:00,0,unverified data,PrecVal,
07-08-1999 00:00,0,unverified data,PrecVal,
08-08-1999 00:00,0,unverified data,PrecVal,
09-08-1999 00:00,0,unverified data,PrecVal,
10-08-1999 00:00,0.002,unverified data,PrecVal,
11-08-1999 00:00,0.003,unverified data,PrecVal,
12-08-1999 00:00,0.004,unverified data,PrecVal,
13-08-1999 00:00,0.004,unverified data,PrecVal,
14-08-1999 00:00,0.004,unverified data,PrecVal,
15-08-1999 00:00,0.003,unverified data,PrecVal,
16-08-1999 00:00,0.003,unverified data,PrecVal,
17-08-1999 00:00,0.003,unverified data,PrecVal,
18-08-1999 00:00,0.003,unverified data,PrecVal,
19-08-1999 00:00,0.002,unverified data,PrecVal,
