"surveyPoint","easting","northing","depth","sp","cover"
"G04",498750,5.34195e+006,0.5,"Elodea",25
"G05",499000,5.34195e+006,0.5,"Elodea",85
"G06",499250,5.34195e+006,1.4,"Charophytes",90
"G07",499500,5.34195e+006,1.5,"Charophytes",100
"G07",499500,5.34195e+006,1.5,"Elodea",1
"G08",499750,5.34195e+006,1.7,"Charophytes",100
"G09",500000,5.34195e+006,2.2,"Elodea",100
"G09",500000,5.34195e+006,2.2,"P. orchreatus",1
"G10",500250,5.34195e+006,2.7,"Charophytes",75
"G10",500250,5.34195e+006,2.7,"Elodea",20
"G10",500250,5.34195e+006,2.7,"P. orchreatus",2
"G11",500500,5.34195e+006,NA,"Charophytes",95
"G11",500500,5.34195e+006,NA,"Elodea",80
"G11",500500,5.34195e+006,NA,"P. orchreatus",3
"G12",500750,5.34195e+006,2.8,"Elodea",85
"G12",500750,5.34195e+006,2.8,"Charophytes",5
"G12",500750,5.34195e+006,2.8,"P. orchreatus",2
"G13",501000,5.34195e+006,2.8,"Elodea",95
"G13",501000,5.34195e+006,2.8,"Charophytes",5
"G13",501000,5.34195e+006,2.8,"P. orchreatus",2
"G14",501250,5.34195e+006,3.1,"Elodea",100
"G15",501500,5.34195e+006,2.75,"Elodea",95
"G15",501500,5.34195e+006,2.75,"P. orchreatus",2
"G16",501750,5.34195e+006,2.1,"Elodea",5
"G16",501750,5.34195e+006,2.1,"Charophytes",5
"H04",498750,5.3417e+006,0.7,"Elodea",25
"H05",499000,5.3417e+006,0.9,"Elodea",100
"H06",499250,5.3417e+006,0.8,"Elodea",90
"H07",499500,5.3417e+006,1.6,"Charophytes",90
"H07",499500,5.3417e+006,1.6,"P. orchreatus",1
"H08",499750,5.3417e+006,2.1,"Charophytes",95
"H08",499750,5.3417e+006,2.1,"P. orchreatus",10
"H09",500000,5.3417e+006,2.6,"Charophytes",100
"H10",500250,5.3417e+006,2.5,"Charophytes",90
"H10",500250,5.3417e+006,2.5,"Elodea",40
"H10",500250,5.3417e+006,2.5,"P. orchreatus",5
"H11",500500,5.3417e+006,2.9,"Charophytes",90
"H11",500500,5.3417e+006,2.9,"Elodea",40
"H11",500500,5.3417e+006,2.9,"P. orchreatus",2
"H12",500750,5.3417e+006,2.8,"Charophytes",80
"H12",500750,5.3417e+006,2.8,"Elodea",60
"H12",500750,5.3417e+006,2.8,"P. orchreatus",25
"H13",501000,5.3417e+006,3.1,"Elodea",95
"H13",501000,5.3417e+006,3.1,"P. orchreatus",2
"H14",501250,5.3417e+006,3.1,"Elodea",95
"H14",501250,5.3417e+006,3.1,"P. orchreatus",2
"H15",501500,5.3417e+006,3.1,"Elodea",90
"H15",501500,5.3417e+006,3.1,"P. orchreatus",2
"H16",501750,5.3417e+006,3,"Elodea",95
"H17",502000,5.3417e+006,1.4,"Charophytes",20
"H17",502000,5.3417e+006,1.4,"Elodea",20
"I03",498500,5.34145e+006,0.5,"Elatine",2
"I03",498500,5.34145e+006,0.5,"Isolepsis",2
"I03",498500,5.34145e+006,0.5,"P. ?australiensis",2
"I03",498500,5.34145e+006,0.5,"Charophytes",NA
"I03",498500,5.34145e+006,0.5,"Elodea",NA
"I04",498750,5.34145e+006,0.7,"Elodea",95
"I05",499000,5.34145e+006,1.3,"Charophytes",100
"I05",499000,5.34145e+006,1.3,"Elodea",2
"I06",499250,5.34145e+006,1.5,"Charophytes",95
"I07",499500,5.34145e+006,1.5,"Elodea",20
"I07",499500,5.34145e+006,1.5,"Charophytes",80
"I08",499750,5.34145e+006,2.2,"Elodea",20
"I08",499750,5.34145e+006,2.2,"Charophytes",70
"I08",499750,5.34145e+006,2.2,"P. ?australiensis",3
"I09",500000,5.34145e+006,2.6,"Elodea",1
"I09",500000,5.34145e+006,2.6,"Charophytes",95
"I09",500000,5.34145e+006,2.6,"P. ?australiensis",1
"I10",500250,5.34145e+006,2.4,"Charophytes",85
"I10",500250,5.34145e+006,2.4,"Elodea",50
"I10",500250,5.34145e+006,2.4,"P. orchreatus",5
"I11",500500,5.34145e+006,2.8,"Charophytes",50
"I11",500500,5.34145e+006,2.8,"Elodea",70
"I11",500500,5.34145e+006,2.8,"P. orchreatus",2
"I12",500750,5.34145e+006,2.9,"Charophytes",75
"I12",500750,5.34145e+006,2.9,"Elodea",60
"I12",500750,5.34145e+006,2.9,"P. orchreatus",3
"I13",501000,5.34145e+006,2.9,"Charophytes",50
"I13",501000,5.34145e+006,2.9,"Elodea",60
"I13",501000,5.34145e+006,2.9,"P. orchreatus",10
"I14",501250,5.34145e+006,3,"Elodea",80
"I14",501250,5.34145e+006,3,"P. orchreatus",5
"I15",501500,5.34145e+006,3.1,"Elodea",80
"I15",501500,5.34145e+006,3.1,"P. orchreatus",20
"I16",501750,5.34145e+006,2.9,"Charophytes",2
"I16",501750,5.34145e+006,2.9,"Elodea",70
"I16",501750,5.34145e+006,2.9,"P. orchreatus",25
"I17",502000,5.34145e+006,1.8,"Elodea",15
"J04",498750,5.3412e+006,0.9,"Elodea",65
"J04",498750,5.3412e+006,0.9,"Charophytes",75
"J04",498750,5.3412e+006,0.9,"P. ?australiensis",1
"J05",499000,5.3412e+006,1.2,"Elodea",2
"J05",499000,5.3412e+006,1.2,"Charophytes",100
"J05",499000,5.3412e+006,1.2,"P. orchreatus",2
"J06",499250,5.3412e+006,1.4,"Elodea",50
"J06",499250,5.3412e+006,1.4,"Charophytes",70
"J06",499250,5.3412e+006,1.4,"P. orchreatus",5
"J07",499500,5.3412e+006,2.2,"Elodea",75
"J07",499500,5.3412e+006,2.2,"Charophytes",50
"J07",499500,5.3412e+006,2.2,"P. orchreatus",5
"J08",499750,5.3412e+006,2.8,"Elodea",20
"J08",499750,5.3412e+006,2.8,"Charophytes",5
"J08",499750,5.3412e+006,2.8,"P. orchreatus",80
"J09",500000,5.3412e+006,2.8,"Elodea",90
"J09",500000,5.3412e+006,2.8,"Charophytes",5
