Params.Name,Params.Units in dataset,Conv,Key,Key Value,Notes,Category
chlorophylla,ug/L,1,var00014,Chlorophyll-a,,Water Quality (Nutrient)
conductivity,uS/cm (25 TRef),1,var00134,Specific Conductivity,,Water Quality (PhysChm)
dissolvedoxygen(%),% Saturation,1,var00085,O2 Saturation,,Water Quality (PhysChm)
dissolvedoxygen(mgperL),mg/l,1,var00023,Dissolved Oxygen,,Water Quality (PhysChm)
pH,,1,var00137,pH,,Water Quality (PhysChm)
phycocyanin,,1,var00766,Phycocyanin,,Water Quality (Nutrient)
salinity,Parts per Thousand,1,var00006,Salinity,,Water Quality (PhysChm)
temperature,Degrees C,1,var00007,Temperature,,Water Quality (PhysChm)
turbidity,NTU/FNU,1,var00013,Turbidity,,Water Quality (Light)
