Date and time,Dissolved Oxygen (DO %) (Percent Saturation),Quality,Interpolation type,Remarks
,,,,Disclaimer
,,,,Use of the information and data contained within this file is at your sole risk.
,,,,"The data is telemetered data, which is transmitted and published by automatic processes."
,,,,"The data is unchecked and may not be accurate, current or complete and it may contain errors."
,,,,Hydro Tasmania:
,,,,"  . makes no representations, either expressed or implied, as to the accuracy of the information and data contained in this file"
,,,,  . accepts no liability however arising for any loss resulting from the use of the information and data in this file or reliance placed on it; and
,,,,"  . makes no representations, either expressed or implied, as to the suitability of the said information and data for any particular purpose."
,,,,
,,,,Copyright 2014 Hydro Electric Corporation.
,,,,No part of this data may be copied to third parties without the
,,,,specific written consent of Hydro Tasmania.
,,,,Time-series interpolation types
,,,,"  InstVal = Instantaneous Value, linear interpolation between observations. For example continuous watercourse level."
,,,,  PrecVal = Preceeding period average value. For example daily avergae flow for the 1st day of Jan 2012 would have timestamp 02/01/2012 00:00
,,,,  PrecMax = Preceding period maximum value. For example maximum weekly watercourse discharge
,,,,  PrecMin = Preceding period minimum value. For example daily minimum temperature
,,,,  PrecTot = Preceding period total value. For example daily total rainfall for the 1st day of Jan 2012 would have date stamp 02/01/2012 00:00
,,,,"  InstTot = Instantaneous total, total value that ocurred at an event"
,,,,"  NoJoin  = Discontinuous value, collection occurs infrequently and interpolation or integration not possible"
,,,,"  SuccVal = Succeeding period Value, value holds until changed"
,,,,  PrecDir = Preceding period directional value.  For example wind direction
,,,,site = WOODS LAKE
,,,,location = WHMS W1 - IFC W1
,,,,latitude =  -42:04:52.1
,,,,longitude =  146:59:07.8
,,,,Property = Dissolved Oxygen (DO %)
19-09-2008 00:00,113.46667,unreliable data,PrecVal,
20-09-2008 00:00,113.95833,unreliable data,PrecVal,
21-09-2008 00:00,113.66458,unreliable data,PrecVal,
22-09-2008 00:00,112.96042,unreliable data,PrecVal,
23-09-2008 00:00,112.64583,unreliable data,PrecVal,
24-09-2008 00:00,112.5875,unreliable data,PrecVal,
25-09-2008 00:00,114.21042,unreliable data,PrecVal,
26-09-2008 00:00,115.25625,unreliable data,PrecVal,
27-09-2008 00:00,115.3125,unreliable data,PrecVal,
28-09-2008 00:00,114.83958,unreliable data,PrecVal,
29-09-2008 00:00,114.8625,unreliable data,PrecVal,
30-09-2008 00:00,113.5375,unreliable data,PrecVal,
01-10-2008 00:00,113.37083,unreliable data,PrecVal,
02-10-2008 00:00,114.27708,unreliable data,PrecVal,
03-10-2008 00:00,115.06667,unreliable data,PrecVal,
04-10-2008 00:00,116.4,unreliable data,PrecVal,
05-10-2008 00:00,115.4375,unreliable data,PrecVal,
06-10-2008 00:00,115.07083,unreliable data,PrecVal,
07-10-2008 00:00,113.72083,unreliable data,PrecVal,
08-10-2008 00:00,112.1,unreliable data,PrecVal,
09-10-2008 00:00,,missing data,PrecVal,
10-10-2008 00:00,,missing data,PrecVal,
11-10-2008 00:00,,missing data,PrecVal,
12-10-2008 00:00,,missing data,PrecVal,
13-10-2008 00:00,,missing data,PrecVal,
14-10-2008 00:00,,missing data,PrecVal,
15-10-2008 00:00,,missing data,PrecVal,
16-10-2008 00:00,,missing data,PrecVal,
17-10-2008 00:00,,missing data,PrecVal,
18-10-2008 00:00,,missing data,PrecVal,
19-10-2008 00:00,,missing data,PrecVal,
20-10-2008 00:00,,missing data,PrecVal,
21-10-2008 00:00,,missing data,PrecVal,
22-10-2008 00:00,,missing data,PrecVal,
23-10-2008 00:00,,missing data,PrecVal,
24-10-2008 00:00,,missing data,PrecVal,
25-10-2008 00:00,,missing data,PrecVal,
26-10-2008 00:00,,missing data,PrecVal,
27-10-2008 00:00,,missing data,PrecVal,
28-10-2008 00:00,,missing data,PrecVal,
29-10-2008 00:00,,missing data,PrecVal,
30-10-2008 00:00,,missing data,PrecVal,
31-10-2008 00:00,,missing data,PrecVal,
01-11-2008 00:00,,missing data,PrecVal,
02-11-2008 00:00,,missing data,PrecVal,
03-11-2008 00:00,,missing data,PrecVal,
04-11-2008 00:00,,missing data,PrecVal,
05-11-2008 00:00,,missing data,PrecVal,
06-11-2008 00:00,,missing data,PrecVal,
07-11-2008 00:00,,missing data,PrecVal,
08-11-2008 00:00,,missing data,PrecVal,
09-11-2008 00:00,,missing data,PrecVal,
10-11-2008 00:00,,missing data,PrecVal,
11-11-2008 00:00,,missing data,PrecVal,
12-11-2008 00:00,,missing data,PrecVal,
13-11-2008 00:00,,missing data,PrecVal,
14-11-2008 00:00,,missing data,PrecVal,
15-11-2008 00:00,,missing data,PrecVal,
16-11-2008 00:00,,missing data,PrecVal,
17-11-2008 00:00,,missing data,PrecVal,
18-11-2008 00:00,,missing data,PrecVal,
19-11-2008 00:00,,missing data,PrecVal,
20-11-2008 00:00,,missing data,PrecVal,
21-11-2008 00:00,,missing data,PrecVal,
22-11-2008 00:00,,missing data,PrecVal,
23-11-2008 00:00,,missing data,PrecVal,
24-11-2008 00:00,,missing data,PrecVal,
25-11-2008 00:00,,missing data,PrecVal,
26-11-2008 00:00,,missing data,PrecVal,
27-11-2008 00:00,,missing data,PrecVal,
28-11-2008 00:00,,missing data,PrecVal,
29-11-2008 00:00,,missing data,PrecVal,
30-11-2008 00:00,,missing data,PrecVal,
01-12-2008 00:00,,missing data,PrecVal,
02-12-2008 00:00,,missing data,PrecVal,
03-12-2008 00:00,,missing data,PrecVal,
04-12-2008 00:00,,missing data,PrecVal,
05-12-2008 00:00,,missing data,PrecVal,
06-12-2008 00:00,,missing data,PrecVal,
07-12-2008 00:00,,missing data,PrecVal,
08-12-2008 00:00,,missing data,PrecVal,
09-12-2008 00:00,,missing data,PrecVal,
10-12-2008 00:00,,missing data,PrecVal,
11-12-2008 00:00,,missing data,PrecVal,
12-12-2008 00:00,,missing data,PrecVal,
13-12-2008 00:00,,missing data,PrecVal,
14-12-2008 00:00,,missing data,PrecVal,
15-12-2008 00:00,,missing data,PrecVal,
16-12-2008 00:00,,missing data,PrecVal,
17-12-2008 00:00,,missing data,PrecVal,
18-12-2008 00:00,,missing data,PrecVal,
19-12-2008 00:00,,missing data,PrecVal,
20-12-2008 00:00,,missing data,PrecVal,
21-12-2008 00:00,,missing data,PrecVal,
22-12-2008 00:00,,missing data,PrecVal,
23-12-2008 00:00,,missing data,PrecVal,
24-12-2008 00:00,,missing data,PrecVal,
25-12-2008 00:00,92.125,unverified data,PrecVal,
26-12-2008 00:00,91.48125,unverified data,PrecVal,
27-12-2008 00:00,90.81667,unverified data,PrecVal,
28-12-2008 00:00,91.06875,unverified data,PrecVal,
29-12-2008 00:00,90.73125,unverified data,PrecVal,
30-12-2008 00:00,89.775,unverified data,PrecVal,
31-12-2008 00:00,89.01667,unverified data,PrecVal,
01-01-2009 00:00,88.18125,unverified data,PrecVal,
02-01-2009 00:00,88.02292,unverified data,PrecVal,
03-01-2009 00:00,88.39167,unverified data,PrecVal,
04-01-2009 00:00,89.93125,unverified data,PrecVal,
05-01-2009 00:00,91.43125,unverified data,PrecVal,
06-01-2009 00:00,91.81875,unverified data,PrecVal,
07-01-2009 00:00,91.04792,unverified data,PrecVal,
08-01-2009 00:00,90.75625,unverified data,PrecVal,
09-01-2009 00:00,89.65208,unverified data,PrecVal,
10-01-2009 00:00,89.50417,unverified data,PrecVal,
11-01-2009 00:00,89.28542,unverified data,PrecVal,
12-01-2009 00:00,90.63958,unverified data,PrecVal,
13-01-2009 00:00,91.22292,unverified data,PrecVal,
14-01-2009 00:00,92.25417,unverified data,PrecVal,
15-01-2009 00:00,92.91875,unverified data,PrecVal,
16-01-2009 00:00,92.55,unverified data,PrecVal,
17-01-2009 00:00,89.76667,unverified data,PrecVal,
18-01-2009 00:00,90.47708,unverified data,PrecVal,
19-01-2009 00:00,93.2875,unverified data,PrecVal,
20-01-2009 00:00,93.12292,unverified data,PrecVal,
21-01-2009 00:00,91.6375,unverified data,PrecVal,
22-01-2009 00:00,91.4125,unverified data,PrecVal,
23-01-2009 00:00,89.94583,unverified data,PrecVal,
24-01-2009 00:00,89.12083,unverified data,PrecVal,
25-01-2009 00:00,89.04375,unverified data,PrecVal,
26-01-2009 00:00,90.65833,unverified data,PrecVal,
