Date and time,Dissolved Oxygen (DO %) (Percent Saturation),Quality,Interpolation type,Remarks
,,,,Disclaimer
,,,,Use of the information and data contained within this file is at your sole risk.
,,,,"The data is telemetered data, which is transmitted and published by automatic processes."
,,,,"The data is unchecked and may not be accurate, current or complete and it may contain errors."
,,,,Hydro Tasmania:
,,,,"  . makes no representations, either expressed or implied, as to the accuracy of the information and data contained in this file"
,,,,  . accepts no liability however arising for any loss resulting from the use of the information and data in this file or reliance placed on it; and
,,,,"  . makes no representations, either expressed or implied, as to the suitability of the said information and data for any particular purpose."
,,,,
,,,,Copyright 2014 Hydro Electric Corporation.
,,,,No part of this data may be copied to third parties without the
,,,,specific written consent of Hydro Tasmania.
,,,,Time-series interpolation types
,,,,"  InstVal = Instantaneous Value, linear interpolation between observations. For example continuous watercourse level."
,,,,  PrecVal = Preceeding period average value. For example daily avergae flow for the 1st day of Jan 2012 would have timestamp 02/01/2012 00:00
,,,,  PrecMax = Preceding period maximum value. For example maximum weekly watercourse discharge
,,,,  PrecMin = Preceding period minimum value. For example daily minimum temperature
,,,,  PrecTot = Preceding period total value. For example daily total rainfall for the 1st day of Jan 2012 would have date stamp 02/01/2012 00:00
,,,,"  InstTot = Instantaneous total, total value that ocurred at an event"
,,,,"  NoJoin  = Discontinuous value, collection occurs infrequently and interpolation or integration not possible"
,,,,"  SuccVal = Succeeding period Value, value holds until changed"
,,,,  PrecDir = Preceding period directional value.  For example wind direction
,,,,site = WOODS LAKE
,,,,location = WHMS W1 - IFC W1
,,,,latitude =  -42:04:52.1
,,,,longitude =  146:59:07.8
,,,,Property = Dissolved Oxygen (DO %)
09-07-2009 00:00,87.53333,unverified data,PrecVal,
10-07-2009 00:00,87.92917,unverified data,PrecVal,
11-07-2009 00:00,88.03542,unverified data,PrecVal,
12-07-2009 00:00,88.62083,unverified data,PrecVal,
13-07-2009 00:00,88.45417,unverified data,PrecVal,
14-07-2009 00:00,87.90625,unverified data,PrecVal,
15-07-2009 00:00,87.5875,unverified data,PrecVal,
16-07-2009 00:00,87.48958,unverified data,PrecVal,
17-07-2009 00:00,87.41875,unverified data,PrecVal,
18-07-2009 00:00,87.21458,unverified data,PrecVal,
19-07-2009 00:00,87.50625,unverified data,PrecVal,
20-07-2009 00:00,88.04583,unverified data,PrecVal,
21-07-2009 00:00,88.3,unverified data,PrecVal,
22-07-2009 00:00,88.05,unverified data,PrecVal,
23-07-2009 00:00,87.50833,unverified data,PrecVal,
24-07-2009 00:00,87.47917,unverified data,PrecVal,
25-07-2009 00:00,87.52917,unverified data,PrecVal,
26-07-2009 00:00,88.1,unverified data,PrecVal,
27-07-2009 00:00,88.49375,unverified data,PrecVal,
28-07-2009 00:00,88.33333,unverified data,PrecVal,
29-07-2009 00:00,88.23646,unverified data,PrecVal,
30-07-2009 00:00,88.7,unverified data,PrecVal,
31-07-2009 00:00,88.92917,unverified data,PrecVal,
01-08-2009 00:00,88.37292,unverified data,PrecVal,
02-08-2009 00:00,88.63958,unverified data,PrecVal,
03-08-2009 00:00,88.42292,unverified data,PrecVal,
04-08-2009 00:00,88.37917,unverified data,PrecVal,
05-08-2009 00:00,88.29167,unverified data,PrecVal,
06-08-2009 00:00,88.21875,unverified data,PrecVal,
07-08-2009 00:00,88.65208,unverified data,PrecVal,
08-08-2009 00:00,88.54167,unverified data,PrecVal,
09-08-2009 00:00,88.3,unverified data,PrecVal,
10-08-2009 00:00,89.1125,unverified data,PrecVal,
11-08-2009 00:00,88.825,unverified data,PrecVal,
12-08-2009 00:00,88.50417,unverified data,PrecVal,
13-08-2009 00:00,88.31875,unverified data,PrecVal,
14-08-2009 00:00,88.44375,unverified data,PrecVal,
15-08-2009 00:00,88.82917,unverified data,PrecVal,
16-08-2009 00:00,89.37292,unverified data,PrecVal,
17-08-2009 00:00,88.375,unverified data,PrecVal,
18-08-2009 00:00,87.40417,unverified data,PrecVal,
19-08-2009 00:00,87.7375,unverified data,PrecVal,
20-08-2009 00:00,88.575,unverified data,PrecVal,
21-08-2009 00:00,89.16875,unverified data,PrecVal,
22-08-2009 00:00,88.00625,unverified data,PrecVal,
23-08-2009 00:00,86.5,unverified data,PrecVal,
24-08-2009 00:00,86.33958,unverified data,PrecVal,
25-08-2009 00:00,86.57708,unverified data,PrecVal,
26-08-2009 00:00,85.51667,unverified data,PrecVal,
27-08-2009 00:00,84.93125,unverified data,PrecVal,
28-08-2009 00:00,85.25,unverified data,PrecVal,
29-08-2009 00:00,85.96042,unverified data,PrecVal,
30-08-2009 00:00,85.82083,unverified data,PrecVal,
31-08-2009 00:00,85.64792,unverified data,PrecVal,
01-09-2009 00:00,85.98333,unverified data,PrecVal,
02-09-2009 00:00,86.29167,unverified data,PrecVal,
03-09-2009 00:00,87.10625,unverified data,PrecVal,
04-09-2009 00:00,87.71458,unverified data,PrecVal,
05-09-2009 00:00,87.96667,unverified data,PrecVal,
06-09-2009 00:00,88.1375,unverified data,PrecVal,
07-09-2009 00:00,88.425,unverified data,PrecVal,
08-09-2009 00:00,88.49792,unverified data,PrecVal,
09-09-2009 00:00,87.88958,unverified data,PrecVal,
10-09-2009 00:00,87.84792,unverified data,PrecVal,
11-09-2009 00:00,87.9125,unverified data,PrecVal,
12-09-2009 00:00,88.62917,unverified data,PrecVal,
13-09-2009 00:00,88.81458,unverified data,PrecVal,
14-09-2009 00:00,89.19792,unverified data,PrecVal,
15-09-2009 00:00,88.81042,unverified data,PrecVal,
16-09-2009 00:00,88.99583,unverified data,PrecVal,
17-09-2009 00:00,89.07083,unverified data,PrecVal,
18-09-2009 00:00,88.93125,unverified data,PrecVal,
19-09-2009 00:00,88.94167,unverified data,PrecVal,
20-09-2009 00:00,88.89792,unverified data,PrecVal,
21-09-2009 00:00,88.36042,unverified data,PrecVal,
22-09-2009 00:00,88.12917,unverified data,PrecVal,
23-09-2009 00:00,87.48542,unverified data,PrecVal,
24-09-2009 00:00,87.01875,unverified data,PrecVal,
25-09-2009 00:00,87.17083,unverified data,PrecVal,
26-09-2009 00:00,86.97292,unverified data,PrecVal,
27-09-2009 00:00,86.64792,unverified data,PrecVal,
28-09-2009 00:00,85.56875,unverified data,PrecVal,
29-09-2009 00:00,86.23542,unverified data,PrecVal,
30-09-2009 00:00,87.35417,unverified data,PrecVal,
01-10-2009 00:00,87.31458,unverified data,PrecVal,
02-10-2009 00:00,87.52292,unverified data,PrecVal,
03-10-2009 00:00,87.06667,unverified data,PrecVal,
04-10-2009 00:00,88.90417,unverified data,PrecVal,
05-10-2009 00:00,89.19583,unverified data,PrecVal,
06-10-2009 00:00,89.45,unverified data,PrecVal,
07-10-2009 00:00,88.34792,unverified data,PrecVal,
08-10-2009 00:00,87.44375,unverified data,PrecVal,
09-10-2009 00:00,87.75417,unverified data,PrecVal,
10-10-2009 00:00,88.65625,unverified data,PrecVal,
11-10-2009 00:00,89.625,unverified data,PrecVal,
12-10-2009 00:00,89.50833,unverified data,PrecVal,
13-10-2009 00:00,89.03958,unverified data,PrecVal,
14-10-2009 00:00,88.02083,unverified data,PrecVal,
15-10-2009 00:00,87.875,unverified data,PrecVal,
16-10-2009 00:00,88.27292,unverified data,PrecVal,
17-10-2009 00:00,87.9,unverified data,PrecVal,
18-10-2009 00:00,88.01667,unverified data,PrecVal,
19-10-2009 00:00,87.76042,unverified data,PrecVal,
20-10-2009 00:00,87.89792,unverified data,PrecVal,
21-10-2009 00:00,88.03125,unverified data,PrecVal,
22-10-2009 00:00,88.16042,unverified data,PrecVal,
23-10-2009 00:00,88.65208,unverified data,PrecVal,
24-10-2009 00:00,89.8375,unverified data,PrecVal,
25-10-2009 00:00,89.57917,unverified data,PrecVal,
26-10-2009 00:00,87.71875,unverified data,PrecVal,
27-10-2009 00:00,87.51042,unverified data,PrecVal,
28-10-2009 00:00,88.35833,unverified data,PrecVal,
29-10-2009 00:00,90,unverified data,PrecVal,
30-10-2009 00:00,88.22917,unverified data,PrecVal,
31-10-2009 00:00,87.63542,unverified data,PrecVal,
01-11-2009 00:00,88.19375,unverified data,PrecVal,
02-11-2009 00:00,88.85833,unverified data,PrecVal,
03-11-2009 00:00,89.52083,unverified data,PrecVal,
04-11-2009 00:00,86.2,unverified data,PrecVal,
05-11-2009 00:00,84.41042,unverified data,PrecVal,
06-11-2009 00:00,84.81667,unverified data,PrecVal,
07-11-2009 00:00,85.7,unverified data,PrecVal,
08-11-2009 00:00,86.6375,unverified data,PrecVal,
09-11-2009 00:00,89.08125,unverified data,PrecVal,
10-11-2009 00:00,91.54792,unverified data,PrecVal,
11-11-2009 00:00,92.22083,unverified data,PrecVal,
12-11-2009 00:00,92.31667,unverified data,PrecVal,
13-11-2009 00:00,90.99167,unverified data,PrecVal,
14-11-2009 00:00,89.11042,unverified data,PrecVal,
15-11-2009 00:00,86.08125,unverified data,PrecVal,
16-11-2009 00:00,86.19792,unverified data,PrecVal,
17-11-2009 00:00,84.44375,unverified data,PrecVal,
18-11-2009 00:00,85.37292,unverified data,PrecVal,
19-11-2009 00:00,87.33125,unverified data,PrecVal,
20-11-2009 00:00,87.8625,unverified data,PrecVal,
21-11-2009 00:00,88.02292,unverified data,PrecVal,
22-11-2009 00:00,87.37708,unverified data,PrecVal,
23-11-2009 00:00,86.07708,unverified data,PrecVal,
24-11-2009 00:00,86.50625,unverified data,PrecVal,
25-11-2009 00:00,88.14792,unverified data,PrecVal,
26-11-2009 00:00,89.70833,unverified data,PrecVal,
27-11-2009 00:00,90.11042,unverified data,PrecVal,
28-11-2009 00:00,88.51875,unverified data,PrecVal,
29-11-2009 00:00,86.65833,unverified data,PrecVal,
30-11-2009 00:00,86.71667,unverified data,PrecVal,
01-12-2009 00:00,86.975,unverified data,PrecVal,
02-12-2009 00:00,88.63958,unverified data,PrecVal,
03-12-2009 00:00,89.89167,unverified data,PrecVal,
04-12-2009 00:00,89.64167,unverified data,PrecVal,
05-12-2009 00:00,89.31042,unverified data,PrecVal,
06-12-2009 00:00,89.60833,unverified data,PrecVal,
07-12-2009 00:00,90.0625,unverified data,PrecVal,
08-12-2009 00:00,90.59167,unverified data,PrecVal,
09-12-2009 00:00,90.28542,unverified data,PrecVal,
10-12-2009 00:00,89.65833,unverified data,PrecVal,
11-12-2009 00:00,88.425,unverified data,PrecVal,
12-12-2009 00:00,88.67083,unverified data,PrecVal,
13-12-2009 00:00,89.91458,unverified data,PrecVal,
14-12-2009 00:00,90.21875,unverified data,PrecVal,
15-12-2009 00:00,90.62292,unverified data,PrecVal,
16-12-2009 00:00,91.05627,unverified data,PrecVal,
17-12-2009 00:00,91.00805,unverified data,PrecVal,
18-12-2009 00:00,90.517,unverified data,PrecVal,
19-12-2009 00:00,89.36137,unverified data,PrecVal,
20-12-2009 00:00,89.50575,unverified data,PrecVal,
21-12-2009 00:00,90.72928,unverified data,PrecVal,
22-12-2009 00:00,92.71724,unverified data,PrecVal,
23-12-2009 00:00,93.72917,unverified data,PrecVal,
24-12-2009 00:00,95.10135,unverified data,PrecVal,
25-12-2009 00:00,93.11311,unverified data,PrecVal,
26-12-2009 00:00,92.20404,unverified data,PrecVal,
27-12-2009 00:00,92.90122,unverified data,PrecVal,
28-12-2009 00:00,92.8859,unverified data,PrecVal,
29-12-2009 00:00,94.00183,unverified data,PrecVal,
30-12-2009 00:00,95.66567,unverified data,PrecVal,
31-12-2009 00:00,96.5816,unverified data,PrecVal,
01-01-2010 00:00,95.39128,unverified data,PrecVal,
02-01-2010 00:00,95.49054,unverified data,PrecVal,
03-01-2010 00:00,94.27314,unverified data,PrecVal,
04-01-2010 00:00,92.46823,unverified data,PrecVal,
05-01-2010 00:00,93.24874,unverified data,PrecVal,
06-01-2010 00:00,93.33551,unverified data,PrecVal,
07-01-2010 00:00,93.41602,unverified data,PrecVal,
08-01-2010 00:00,94.00695,unverified data,PrecVal,
09-01-2010 00:00,94.29371,unverified data,PrecVal,
10-01-2010 00:00,95.64922,unverified data,PrecVal,
11-01-2010 00:00,96.78182,unverified data,PrecVal,
12-01-2010 00:00,97.3165,unverified data,PrecVal,
13-01-2010 00:00,96.30534,unverified data,PrecVal,
14-01-2010 00:00,94.84155,unverified data,PrecVal,
15-01-2010 00:00,95.58402,unverified data,PrecVal,
16-01-2010 00:00,96.08475,unverified data,PrecVal,
17-01-2010 00:00,96.11672,unverified data,PrecVal,
18-01-2010 00:00,94.69661,unverified data,PrecVal,
19-01-2010 00:00,93.45775,unverified data,PrecVal,
20-01-2010 00:00,93.32097,unverified data,PrecVal,
21-01-2010 00:00,93.60086,unverified data,PrecVal,
22-01-2010 00:00,94.66617,unverified data,PrecVal,
23-01-2010 00:00,95.10231,unverified data,PrecVal,
24-01-2010 00:00,94.76137,unverified data,PrecVal,
25-01-2010 00:00,95.49126,unverified data,PrecVal,
26-01-2010 00:00,95.95656,unverified data,PrecVal,
27-01-2010 00:00,95.06562,unverified data,PrecVal,
28-01-2010 00:00,95.08718,unverified data,PrecVal,
29-01-2010 00:00,95.55457,unverified data,PrecVal,
30-01-2010 00:00,95.68654,unverified data,PrecVal,
31-01-2010 00:00,96.13518,unverified data,PrecVal,
01-02-2010 00:00,95.9734,unverified data,PrecVal,
02-02-2010 00:00,95.67829,unverified data,PrecVal,
03-02-2010 00:00,95.79568,unverified data,PrecVal,
04-02-2010 00:00,96.62141,unverified data,PrecVal,
05-02-2010 00:00,95.0513,unverified data,PrecVal,
06-02-2010 00:00,93.91244,unverified data,PrecVal,
07-02-2010 00:00,94.23399,unverified data,PrecVal,
08-02-2010 00:00,94.65347,unverified data,PrecVal,
09-02-2010 00:00,94.61461,unverified data,PrecVal,
10-02-2010 00:00,96.79658,unverified data,PrecVal,
11-02-2010 00:00,99.18897,unverified data,PrecVal,
12-02-2010 00:00,97.16678,unverified data,PrecVal,
13-02-2010 00:00,93.43417,unverified data,PrecVal,
14-02-2010 00:00,91.54114,unverified data,PrecVal,
15-02-2010 00:00,90.4752,unverified data,PrecVal,
16-02-2010 00:00,91.5905,unverified data,PrecVal,
17-02-2010 00:00,92.23498,unverified data,PrecVal,
18-02-2010 00:00,92.77959,unverified data,PrecVal,
19-02-2010 00:00,93.10625,unverified data,PrecVal,
20-02-2010 00:00,94.05625,unverified data,PrecVal,
21-02-2010 00:00,93.35833,unverified data,PrecVal,
22-02-2010 00:00,92.9875,unverified data,PrecVal,
23-02-2010 00:00,92.03333,unverified data,PrecVal,
24-02-2010 00:00,91.40417,unverified data,PrecVal,
25-02-2010 00:00,92.42083,unverified data,PrecVal,
26-02-2010 00:00,93.61667,unverified data,PrecVal,
27-02-2010 00:00,93.95208,unverified data,PrecVal,
28-02-2010 00:00,93.34583,unverified data,PrecVal,
01-03-2010 00:00,92.35208,unverified data,PrecVal,
02-03-2010 00:00,91.91875,unverified data,PrecVal,
03-03-2010 00:00,92.62708,unverified data,PrecVal,
04-03-2010 00:00,93.55833,unverified data,PrecVal,
05-03-2010 00:00,94.94792,unverified data,PrecVal,
06-03-2010 00:00,96.51458,unverified data,PrecVal,
07-03-2010 00:00,95.3375,unverified data,PrecVal,
08-03-2010 00:00,96.88125,unverified data,PrecVal,
09-03-2010 00:00,94.675,unverified data,PrecVal,
10-03-2010 00:00,92.34167,unverified data,PrecVal,
11-03-2010 00:00,90.94792,unverified data,PrecVal,
12-03-2010 00:00,92.59167,unverified data,PrecVal,
13-03-2010 00:00,94.1875,unverified data,PrecVal,
14-03-2010 00:00,93.90625,unverified data,PrecVal,
15-03-2010 00:00,94.10417,unverified data,PrecVal,
16-03-2010 00:00,94.43958,unverified data,PrecVal,
17-03-2010 00:00,95.4625,unverified data,PrecVal,
18-03-2010 00:00,94.74792,unverified data,PrecVal,
19-03-2010 00:00,94.87083,unverified data,PrecVal,
20-03-2010 00:00,94.52917,unverified data,PrecVal,
21-03-2010 00:00,93.12708,unverified data,PrecVal,
22-03-2010 00:00,92.08958,unverified data,PrecVal,
23-03-2010 00:00,91.67083,unverified data,PrecVal,
24-03-2010 00:00,92.54375,unverified data,PrecVal,
25-03-2010 00:00,92.63333,unverified data,PrecVal,
26-03-2010 00:00,94.1375,unverified data,PrecVal,
27-03-2010 00:00,93.85833,unverified data,PrecVal,
28-03-2010 00:00,93.30625,unverified data,PrecVal,
29-03-2010 00:00,93.00625,unverified data,PrecVal,
30-03-2010 00:00,92.65833,unverified data,PrecVal,
31-03-2010 00:00,92.94167,unverified data,PrecVal,
01-04-2010 00:00,93.54583,unverified data,PrecVal,
02-04-2010 00:00,93.63542,unverified data,PrecVal,
03-04-2010 00:00,92.99792,unverified data,PrecVal,
04-04-2010 00:00,92.56458,unverified data,PrecVal,
05-04-2010 00:00,92.725,unverified data,PrecVal,
06-04-2010 00:00,93.25625,unverified data,PrecVal,
07-04-2010 00:00,92.70625,unverified data,PrecVal,
08-04-2010 00:00,92.57708,unverified data,PrecVal,
09-04-2010 00:00,92.54583,unverified data,PrecVal,
10-04-2010 00:00,92.675,unverified data,PrecVal,
11-04-2010 00:00,93.08958,unverified data,PrecVal,
12-04-2010 00:00,91.78125,unverified data,PrecVal,
13-04-2010 00:00,,missing data,PrecVal,
14-04-2010 00:00,,missing data,PrecVal,
15-04-2010 00:00,,missing data,PrecVal,
16-04-2010 00:00,,missing data,PrecVal,
17-04-2010 00:00,,missing data,PrecVal,
18-04-2010 00:00,,missing data,PrecVal,
19-04-2010 00:00,,missing data,PrecVal,
20-04-2010 00:00,,missing data,PrecVal,
21-04-2010 00:00,,missing data,PrecVal,
22-04-2010 00:00,,missing data,PrecVal,
23-04-2010 00:00,,missing data,PrecVal,
24-04-2010 00:00,,missing data,PrecVal,
25-04-2010 00:00,,missing data,PrecVal,
26-04-2010 00:00,,missing data,PrecVal,
27-04-2010 00:00,,missing data,PrecVal,
28-04-2010 00:00,,missing data,PrecVal,
29-04-2010 00:00,,missing data,PrecVal,
30-04-2010 00:00,,missing data,PrecVal,
01-05-2010 00:00,,missing data,PrecVal,
02-05-2010 00:00,92.55,unverified data,PrecVal,
03-05-2010 00:00,92.575,unverified data,PrecVal,
04-05-2010 00:00,92.40417,unverified data,PrecVal,
05-05-2010 00:00,92.60833,unverified data,PrecVal,
06-05-2010 00:00,92.40833,unverified data,PrecVal,
07-05-2010 00:00,,missing data,PrecVal,
08-05-2010 00:00,,missing data,PrecVal,
09-05-2010 00:00,,missing data,PrecVal,
10-05-2010 00:00,,missing data,PrecVal,
11-05-2010 00:00,,missing data,PrecVal,
12-05-2010 00:00,,missing data,PrecVal,
13-05-2010 00:00,,missing data,PrecVal,
14-05-2010 00:00,,missing data,PrecVal,
15-05-2010 00:00,92.28333,unverified data,PrecVal,
16-05-2010 00:00,92.54792,unverified data,PrecVal,
17-05-2010 00:00,92.92292,unverified data,PrecVal,
18-05-2010 00:00,93.05625,unverified data,PrecVal,
19-05-2010 00:00,92.74792,unverified data,PrecVal,
20-05-2010 00:00,93.04792,unverified data,PrecVal,
21-05-2010 00:00,92.975,unverified data,PrecVal,
22-05-2010 00:00,92.53542,unverified data,PrecVal,
23-05-2010 00:00,92,unverified data,PrecVal,
24-05-2010 00:00,91.9,unverified data,PrecVal,
25-05-2010 00:00,91.84583,unverified data,PrecVal,
26-05-2010 00:00,91.97917,unverified data,PrecVal,
27-05-2010 00:00,91.46458,unverified data,PrecVal,
28-05-2010 00:00,91.66667,unverified data,PrecVal,
29-05-2010 00:00,92.09167,unverified data,PrecVal,
30-05-2010 00:00,92.43958,unverified data,PrecVal,
31-05-2010 00:00,92.76042,unverified data,PrecVal,
01-06-2010 00:00,93.04583,unverified data,PrecVal,
02-06-2010 00:00,93.36667,unverified data,PrecVal,
03-06-2010 00:00,93.11042,unverified data,PrecVal,
04-06-2010 00:00,93.33333,unverified data,PrecVal,
05-06-2010 00:00,93.22292,unverified data,PrecVal,
06-06-2010 00:00,93.13125,unverified data,PrecVal,
07-06-2010 00:00,92.41042,unverified data,PrecVal,
08-06-2010 00:00,92.40625,unverified data,PrecVal,
09-06-2010 00:00,91.9625,unverified data,PrecVal,
10-06-2010 00:00,91.67083,unverified data,PrecVal,
11-06-2010 00:00,91.075,unverified data,PrecVal,
12-06-2010 00:00,91.5125,unverified data,PrecVal,
13-06-2010 00:00,92.02083,unverified data,PrecVal,
14-06-2010 00:00,93.025,unverified data,PrecVal,
15-06-2010 00:00,93.46667,unverified data,PrecVal,
16-06-2010 00:00,93.45,unverified data,PrecVal,
17-06-2010 00:00,93.34167,unverified data,PrecVal,
18-06-2010 00:00,93.04167,unverified data,PrecVal,
19-06-2010 00:00,92.58542,unverified data,PrecVal,
20-06-2010 00:00,92.65625,unverified data,PrecVal,
21-06-2010 00:00,93.62917,unverified data,PrecVal,
22-06-2010 00:00,93.21458,unverified data,PrecVal,
23-06-2010 00:00,92.94167,unverified data,PrecVal,
24-06-2010 00:00,92.38333,unverified data,PrecVal,
25-06-2010 00:00,92.05208,unverified data,PrecVal,
26-06-2010 00:00,92.1125,unverified data,PrecVal,
27-06-2010 00:00,91.23542,unverified data,PrecVal,
28-06-2010 00:00,90.57292,unverified data,PrecVal,
29-06-2010 00:00,90.2875,unverified data,PrecVal,
30-06-2010 00:00,90.19375,unverified data,PrecVal,
01-07-2010 00:00,90.05833,unverified data,PrecVal,
02-07-2010 00:00,89.95625,unverified data,PrecVal,
03-07-2010 00:00,89.85625,unverified data,PrecVal,
04-07-2010 00:00,89.95833,unverified data,PrecVal,
05-07-2010 00:00,90.9625,unverified data,PrecVal,
06-07-2010 00:00,90.41875,unverified data,PrecVal,
07-07-2010 00:00,90.5,unverified data,PrecVal,
08-07-2010 00:00,90.36875,unverified data,PrecVal,
09-07-2010 00:00,90.40625,unverified data,PrecVal,
10-07-2010 00:00,90.82292,unverified data,PrecVal,
11-07-2010 00:00,91.45,unverified data,PrecVal,
12-07-2010 00:00,91.38958,unverified data,PrecVal,
13-07-2010 00:00,91.23542,unverified data,PrecVal,
14-07-2010 00:00,91.37917,unverified data,PrecVal,
15-07-2010 00:00,90.59792,unverified data,PrecVal,
16-07-2010 00:00,90.12292,unverified data,PrecVal,
17-07-2010 00:00,90.2125,unverified data,PrecVal,
18-07-2010 00:00,90.375,unverified data,PrecVal,
19-07-2010 00:00,90.51667,unverified data,PrecVal,
20-07-2010 00:00,90.11875,unverified data,PrecVal,
21-07-2010 00:00,90.28125,unverified data,PrecVal,
22-07-2010 00:00,90.60208,unverified data,PrecVal,
23-07-2010 00:00,91.79583,unverified data,PrecVal,
24-07-2010 00:00,92.21042,unverified data,PrecVal,
25-07-2010 00:00,92.76458,unverified data,PrecVal,
26-07-2010 00:00,91.40208,unverified data,PrecVal,
27-07-2010 00:00,92.41875,unverified data,PrecVal,
28-07-2010 00:00,92.38542,unverified data,PrecVal,
29-07-2010 00:00,92.54792,unverified data,PrecVal,
30-07-2010 00:00,92.6125,unverified data,PrecVal,
31-07-2010 00:00,92.49583,unverified data,PrecVal,
01-08-2010 00:00,92.32917,unverified data,PrecVal,
02-08-2010 00:00,91.92083,unverified data,PrecVal,
03-08-2010 00:00,91.77708,unverified data,PrecVal,
04-08-2010 00:00,91.9125,unverified data,PrecVal,
05-08-2010 00:00,91.84583,unverified data,PrecVal,
06-08-2010 00:00,91.09167,unverified data,PrecVal,
07-08-2010 00:00,90.80208,unverified data,PrecVal,
08-08-2010 00:00,90.78125,unverified data,PrecVal,
09-08-2010 00:00,90.91875,unverified data,PrecVal,
10-08-2010 00:00,91.00208,unverified data,PrecVal,
11-08-2010 00:00,93.47083,unverified data,PrecVal,
12-08-2010 00:00,97.37292,unverified data,PrecVal,
13-08-2010 00:00,97.08542,unverified data,PrecVal,
14-08-2010 00:00,97.1875,unverified data,PrecVal,
15-08-2010 00:00,97.00625,unverified data,PrecVal,
16-08-2010 00:00,96.71458,unverified data,PrecVal,
17-08-2010 00:00,96.32083,unverified data,PrecVal,
18-08-2010 00:00,95.64583,unverified data,PrecVal,
19-08-2010 00:00,95.7375,unverified data,PrecVal,
20-08-2010 00:00,95.96458,unverified data,PrecVal,
21-08-2010 00:00,95.4625,unverified data,PrecVal,
22-08-2010 00:00,95.59792,unverified data,PrecVal,
23-08-2010 00:00,96.26667,unverified data,PrecVal,
24-08-2010 00:00,97.09583,unverified data,PrecVal,
25-08-2010 00:00,97.20208,unverified data,PrecVal,
26-08-2010 00:00,96.70625,unverified data,PrecVal,
27-08-2010 00:00,96.23542,unverified data,PrecVal,
28-08-2010 00:00,95.57708,unverified data,PrecVal,
29-08-2010 00:00,96.00208,unverified data,PrecVal,
30-08-2010 00:00,96.89375,unverified data,PrecVal,
31-08-2010 00:00,97.71042,unverified data,PrecVal,
01-09-2010 00:00,98.02292,unverified data,PrecVal,
02-09-2010 00:00,98.08333,unverified data,PrecVal,
03-09-2010 00:00,98.00625,unverified data,PrecVal,
04-09-2010 00:00,98.66042,unverified data,PrecVal,
05-09-2010 00:00,98.47708,unverified data,PrecVal,
06-09-2010 00:00,97.86667,unverified data,PrecVal,
07-09-2010 00:00,97.64792,unverified data,PrecVal,
08-09-2010 00:00,97.79583,unverified data,PrecVal,
09-09-2010 00:00,97.81458,unverified data,PrecVal,
10-09-2010 00:00,98.07292,unverified data,PrecVal,
11-09-2010 00:00,98.08958,unverified data,PrecVal,
12-09-2010 00:00,97.53125,unverified data,PrecVal,
13-09-2010 00:00,98.59167,unverified data,PrecVal,
14-09-2010 00:00,97.34792,unverified data,PrecVal,
15-09-2010 00:00,97.19583,unverified data,PrecVal,
16-09-2010 00:00,96.875,unverified data,PrecVal,
17-09-2010 00:00,95.22292,unverified data,PrecVal,
18-09-2010 00:00,95.39167,unverified data,PrecVal,
19-09-2010 00:00,96.62708,unverified data,PrecVal,
20-09-2010 00:00,97.11875,unverified data,PrecVal,
21-09-2010 00:00,98.5125,unverified data,PrecVal,
22-09-2010 00:00,99.20833,unverified data,PrecVal,
23-09-2010 00:00,99.22292,unverified data,PrecVal,
24-09-2010 00:00,99.42083,unverified data,PrecVal,
25-09-2010 00:00,99.49792,unverified data,PrecVal,
26-09-2010 00:00,98.91458,unverified data,PrecVal,
27-09-2010 00:00,98.275,unverified data,PrecVal,
28-09-2010 00:00,97.55417,unverified data,PrecVal,
29-09-2010 00:00,96.53542,unverified data,PrecVal,
30-09-2010 00:00,95.81667,unverified data,PrecVal,
01-10-2010 00:00,96.68125,unverified data,PrecVal,
02-10-2010 00:00,98.05417,unverified data,PrecVal,
03-10-2010 00:00,99.10417,unverified data,PrecVal,
04-10-2010 00:00,100.20833,unverified data,PrecVal,
05-10-2010 00:00,100.50625,unverified data,PrecVal,
06-10-2010 00:00,100.76875,unverified data,PrecVal,
07-10-2010 00:00,100.48958,unverified data,PrecVal,
08-10-2010 00:00,98.65208,unverified data,PrecVal,
09-10-2010 00:00,97.91042,unverified data,PrecVal,
10-10-2010 00:00,98.26458,unverified data,PrecVal,
11-10-2010 00:00,99.43958,unverified data,PrecVal,
12-10-2010 00:00,99.35,unverified data,PrecVal,
13-10-2010 00:00,99.40625,unverified data,PrecVal,
14-10-2010 00:00,99.6625,unverified data,PrecVal,
15-10-2010 00:00,99.85417,unverified data,PrecVal,
16-10-2010 00:00,97.14375,unverified data,PrecVal,
17-10-2010 00:00,94.45,unverified data,PrecVal,
18-10-2010 00:00,94.825,unverified data,PrecVal,
19-10-2010 00:00,95.85625,unverified data,PrecVal,
20-10-2010 00:00,97.09792,unverified data,PrecVal,
21-10-2010 00:00,98.94167,unverified data,PrecVal,
22-10-2010 00:00,100.97083,unverified data,PrecVal,
23-10-2010 00:00,102.0375,unverified data,PrecVal,
24-10-2010 00:00,99.89583,unverified data,PrecVal,
25-10-2010 00:00,99.14792,unverified data,PrecVal,
26-10-2010 00:00,99.45625,unverified data,PrecVal,
27-10-2010 00:00,98.49375,unverified data,PrecVal,
