TOA5,WIND SITES,CR2xx,No_SN,CR200X.Std.01,Wind Monitoring3.CR2,57348,WindData,,
TIMESTAMP,RECORD,battVolt,windRun,windSpeed,windSpeed_Min,windSpeed_Max,windSpeed_Avg,windDir_Avg,windDir_stdDev
TS,RN,,,,,,,,
,,Smp,Smp,Smp,Min,Max,WVc,WVc,WVc
07/05/2015 14:50,0,13.66607,166,1.2,0,5.4,2.049383,154.5394,47.00147
07/05/2015 15:00,1,13.67698,1757.999,6.1,0.4,8.7,2.929999,157.1024,39.82005
07/05/2015 15:10,2,13.69209,1615.198,1.7,0.4,8.400001,2.691998,155.9584,39.83265
07/05/2015 15:20,3,13.69377,1096.203,3.5,0.1,5.9,1.827,147.4628,49.25893
07/05/2015 15:30,4,13.69125,1230.296,1.3,0,5.3,2.050501,168.6407,30.86894
07/05/2015 15:40,5,13.6988,1271.099,3.5,0.1,5.6,2.1185,169.325,27.69175
07/05/2015 15:50,6,13.68789,1471.895,2.8,0.8,5.8,2.453167,169.9108,24.55941
07/05/2015 16:00,7,13.67866,1567.19,2,0.6,6.8,2.611999,168.6059,24.5505
07/05/2015 16:10,8,13.65935,1530.71,2.5,0.8,6.7,2.551167,164.4557,25.92559
07/05/2015 16:20,9,13.66942,1413.3,0.9,0.7,5.5,2.355501,160.7177,28.32906
07/05/2015 16:30,10,13.6669,1108.1,3,0.2,5.3,1.846833,157.3887,34.42284
07/05/2015 16:40,11,13.66438,1339.7,2.3,0.3,6.2,2.232834,161.4354,34.94161
07/05/2015 16:50,12,13.64424,1318.01,2.1,0.6,4.9,2.196667,164.6534,27.06645
07/05/2015 17:00,13,13.66942,1045.8,2.7,0.3,4.9,1.743,173.6291,24.9964
07/05/2015 17:10,14,13.67278,1145.38,0.8,0.5,3.7,1.908998,177.9384,23.91358
07/05/2015 17:20,15,13.66523,692.18,1.1,0,3.4,1.153667,167.4555,25.81632
07/05/2015 17:30,16,13.70468,715.89,0.6,0,3.6,1.193168,156.7661,47.56491
07/05/2015 17:40,17,13.66523,829.19,1.9,0.1,4.6,1.382,149.1495,52.59769
07/05/2015 17:50,18,13.67278,953.41,1.7,0,5.2,1.589,153.1196,40.95393
07/05/2015 18:00,19,13.67949,1261.41,2.8,0.6,5.8,2.102332,155.6896,34.75076
07/05/2015 18:10,20,13.62745,1340.5,2.2,0.4,6,2.234167,155.2389,40.75163
07/05/2015 18:20,21,13.64424,1260.89,1.5,0.3,5.5,2.1015,153.6916,42.45098
07/05/2015 18:30,22,13.68201,704.12,0,0,3.4,1.1735,154.2387,35.51585
07/05/2015 18:40,23,13.68453,599.58,0.9,0,2.8,0.9993336,163.5641,30.55444
07/05/2015 18:50,24,13.66355,337.37,1.1,0,2.3,0.5623341,165.4692,27.26486
07/05/2015 19:00,25,13.69377,151.79,0,0,1.9,0.253,156.1758,27.73584
07/05/2015 19:10,26,13.68369,174.5,0.5,0,1.9,0.2908333,163.0026,15.59616
07/05/2015 19:20,27,13.67698,623.09,1.6,0,2.6,1.0385,166.0781,23.50292
07/05/2015 19:30,28,13.68957,801.39,0.9,0,3.3,1.335666,163.7917,24.66478
07/05/2015 19:40,29,13.67446,656.39,0,0,2.6,1.094,187.4228,28.85629
