Rating Table 130.00 Water Level (Metres) to 130.02 Surface Area (Square kilometres)
Steps: 
	1) Rating(462.1 WOODS LAKE [AT DAM]; 130.02 Surface Area (Square kilometres); R1; Grp 0)
	Water Level (m)	     +0.00	     +0.01	     +0.02	     +0.03	     +0.04	     +0.05	     +0.06	     +0.07	     +0.08	     +0.09
	     733.1	          	          	          	          	          	          	    6.945X	    6.970X	    6.994X	    7.018X
	     733.2	    7.043X	    7.067X	    7.091X	    7.115X	    7.140X	    7.164X	    7.188X	    7.212X	    7.236X	    7.260X
	     733.3	    7.284X	    7.308X	    7.331X	    7.355X	    7.379X	    7.402X	    7.426X	    7.449X	    7.473X	    7.496X
	     733.4	    7.519X	    7.542X	    7.565X	    7.588X	    7.611X	    7.633X	    7.656X	    7.678X	    7.701X	    7.723X
	     733.5	    7.745X	    7.767X	    7.789X	    7.811X	    7.833X	    7.855X	    7.877X	    7.899X	    7.921X	    7.943X
	     733.6	    7.965X	    7.987X	    8.008X	    8.030X	    8.052X	    8.074X	    8.096X	    8.118X	    8.140X	    8.162X
	     733.7	    8.183X	    8.205X	    8.227X	    8.249X	    8.271X	    8.293X	    8.315X	    8.336X	    8.358X	    8.380X
	     733.8	    8.402X	    8.424X	    8.446X	    8.467X	    8.489X	    8.511X	    8.533X	    8.555X	    8.577X	    8.598X
	     733.9	    8.620X	    8.642X	    8.664X	    8.686X	    8.708X	    8.730X	    8.752X	    8.773X	    8.795X	    8.817X
	     735.2	   11.242 	   11.262 	   11.282 	   11.303 	   11.323 	   11.343 	   11.362 	   11.382 	   11.402 	   11.421 
	     735.3	   11.440 	   11.459 	   11.478 	   11.496 	   11.514 	   11.532 	   11.550 	   11.567 	   11.584 	   11.601 
	     735.4	   11.617 	   11.633 	   11.648 	   11.663 	   11.678 	   11.692 	   11.706 	   11.719 	   11.732 	   11.744 
	     735.5	   11.756 	   11.767 	   11.778 	   11.788 	   11.797 	   11.806 	   11.814 	   11.821 	   11.828 	   11.835 
	     735.6	   11.840 	   11.845 	   11.850 	   11.855 	   11.860 	   11.864 	   11.869 	   11.873 	   11.878 	   11.882 
	     735.7	   11.886 	   11.890 	   11.894 	   11.898 	   11.902 	   11.906 	   11.910 	   11.913 	   11.917 	   11.921 
	     735.8	   11.924 	   11.928 	   11.931 	   11.935 	   11.938 	   11.942 	   11.945 	   11.949 	   11.952 	   11.956 
	     735.9	   11.959 	   11.962 	   11.966 	   11.969 	   11.973 	   11.976 	   11.980 	   11.983 	   11.987 	   11.990 
	     736.0	   11.994 	   11.998 	   12.001 	   12.005 	   12.009 	   12.012 	   12.016 	   12.020 	   12.023 	   12.027 
	     736.1	   12.031 	   12.034 	   12.038 	   12.042 	   12.045 	   12.049 	   12.053 	   12.056 	   12.060 	   12.064 
	     736.2	   12.067 	   12.071 	   12.075 	   12.078 	   12.082 	   12.086 	   12.089 	   12.093 	   12.097 	   12.100 
	     736.3	   12.104 	   12.108 	   12.112 	   12.115 	   12.119 	   12.123 	   12.126 	   12.130 	   12.134 	   12.137 
	     736.4	   12.141 	   12.145 	   12.148 	   12.152 	   12.156 	   12.159 	   12.163 	   12.167 	   12.170 	   12.174 
	     736.5	   12.178 	   12.181 	   12.185 	   12.189 	   12.192 	   12.196 	   12.200 	   12.203 	   12.207 	   12.211 
	     736.6	   12.214 	   12.218 	   12.222 	   12.225 	   12.229 	   12.233 	   12.236 	   12.240 	   12.244 	   12.247 
	     736.7	   12.251 	   12.255 	   12.258 	   12.262 	   12.266 	   12.269 	   12.273 	   12.277 	   12.280 	   12.284 
	     736.8	   12.287 	   12.291 	   12.295 	   12.298 	   12.302 	   12.306 	   12.309 	   12.313 	   12.317 	   12.320 
	     736.9	   12.324 	   12.327 	   12.331 	   12.335 	   12.338 	   12.342 	   12.346 	   12.349 	   12.353 	   12.356 
	     737.0	   12.360 	   12.364 	   12.367 	   12.371 	   12.374 	   12.378 	   12.382 	   12.385 	   12.389 	   12.393 
	     737.1	   12.396 	   12.400 	   12.403 	   12.407 	   12.411 	   12.414 	   12.418 	   12.422 	   12.425 	   12.429 
	     737.2	   12.433 	   12.436 	   12.440 	   12.443 	   12.447 	   12.451 	   12.454 	   12.458 	   12.462 	   12.465 
	     737.3	   12.469 	   12.472 	   12.476 	   12.480 	   12.483 	   12.487 	   12.490 	   12.494 	   12.498 	   12.501 
	     737.4	   12.505 	   12.508 	   12.512 	   12.516 	   12.519 	   12.523 	   12.526 	   12.530 	   12.533 	   12.537 
	     737.5	   12.541 	   12.544 	   12.548 	   12.551 	   12.555 	   12.558 	   12.562 	   12.565 	   12.569 	   12.572 
	     737.6	   12.576 	   12.579 	   12.583 	   12.586 	   12.590 	   12.593 	   12.596 	   12.600 	   12.603 	   12.607 


Rating Table 130.00 Water Level (Metres) to 130.02 Surface Area (Square kilometres)
Steps: 
	1) Rating(462.1 WOODS LAKE [AT DAM]; 130.02 Surface Area (Square kilometres); R1; Grp 0)
	Water Level (m)	     +0.00	     +0.01	     +0.02	     +0.03	     +0.04	     +0.05	     +0.06	     +0.07	     +0.08	     +0.09
	     737.7	   12.610 	   12.613 	   12.617 	   12.620 	   12.624 	   12.627 	   12.630 	   12.634 	   12.637 	   12.640 
