Variable,Date,Depth,Data,QC
Water Temperature,1991-01-22 12:00:00,,,140
Water Temperature,1992-07-07 12:00:00,,,140
Water Temperature,1994-02-23 12:00:00,,,140
Water Temperature,1996-08-08 12:00:00,,,140
Water Temperature,1996-09-06 12:00:00,,,140
Water Temperature,1996-10-01 12:00:00,,,140
Water Temperature,1996-11-05 12:00:00,,,140
Water Temperature,1996-12-02 12:00:00,,,140
Water Temperature,1997-01-07 12:00:00,,,140
Water Temperature,1997-02-03 12:00:00,,,140
Water Temperature,1997-03-24 12:00:00,,,140
Water Temperature,1997-05-05 12:00:00,,,140
Water Temperature,1997-06-17 12:00:00,,,140
Water Temperature,1997-07-22 12:00:00,,,140
Water Temperature,1997-08-20 12:00:00,,,140
Water Temperature,1997-10-20 12:00:00,,,140
Water Temperature,1997-12-08 12:00:00,,,140
Water Temperature,1998-02-16 12:00:00,,,140
Water Temperature,1998-04-21 12:00:00,,,140
Water Temperature,1998-06-15 12:00:00,,,140
Water Temperature,1998-09-15 11:34:00,0.1,8.41,11
Water Temperature,1998-09-15 11:34:00,3.4,8.39,11
Water Temperature,1998-09-15 11:34:00,1.7,8.41,11
Water Temperature,1998-09-15 11:34:00,0.8,8.42,11
Water Temperature,1998-09-15 11:34:00,2.8,8.4,11
Water Temperature,1998-09-15 12:00:00,,8.41,21
Water Temperature,1998-11-24 12:00:00,,13.72,21
Water Temperature,1998-11-24 16:04:00,0.8,13.9,11
Water Temperature,1998-11-24 16:04:00,0.9,13.72,11
Water Temperature,1998-11-24 16:04:00,2.8,13.09,11
Water Temperature,1998-11-24 16:04:00,2.3,13.11,11
Water Temperature,1998-11-24 16:04:00,1.3,13.27,11
Water Temperature,1998-11-24 16:04:00,1.8,13.2,11
Water Temperature,1998-11-24 16:04:00,3.3,13.03,11
Water Temperature,1998-11-24 16:04:00,3.8,12.93,11
Water Temperature,1998-11-24 16:04:00,4.3,12.83,11
Water Temperature,1999-01-12 12:00:00,,19.64,21
Water Temperature,1999-01-12 16:45:00,1,19.67,11
