Variable,Date,Depth,Data,QC
Suspended Solids - Total (TSS),16/02/2024 10:20,0.2,16.0,4
Suspended Solids - Total (TSS),25/01/2024 11:20,0.2,14.0,4
Suspended Solids - Total (TSS),8/02/2024 15:05,0.2,18.0,4
Suspended Solids - Total (TSS),18/01/2024 15:30,0.2,15.0,4
Suspended Solids - Total (TSS),8/01/2024 14:55,0.2,14.0,4
Suspended Solids - Total (TSS),5/01/2024 12:10,0.2,11.0,4
Suspended Solids - Total (TSS),18/12/2023 12:30,0.2,14.0,4
Suspended Solids - Total (TSS),14/12/2023 12:20,0.2,9.0,4
Suspended Solids - Total (TSS),7/12/2023 10:55,0.2,5.0,4
Suspended Solids - Total (TSS),29/11/2023 11:00,0.2,5.0,4
Suspended Solids - Total (TSS),22/11/2023 15:10,0.2,6.0,4
Suspended Solids - Total (TSS),10/11/2023 16:55,0.2,3.0,4
Suspended Solids - Total (TSS),2/11/2023 16:20,0.2,4.0,4
Suspended Solids - Total (TSS),10/10/2023 15:30,0.2,13.0,4
Suspended Solids - Total (TSS),17/10/2023 16:00,0.2,12.0,4
Suspended Solids - Total (TSS),4/10/2023 15:45,0.2,12.0,4
Suspended Solids - Total (TSS),28/09/2023 12:30,0.2,8.0,4
Suspended Solids - Total (TSS),20/09/2023 11:15,0.2,9.0,4
Suspended Solids - Total (TSS),13/09/2023 15:35,0.2,7.0,4
Suspended Solids - Total (TSS),30/08/2023 13:40,0.2,6.0,4
Suspended Solids - Total (TSS),23/08/2023 12:00,0.2,8.0,4
Suspended Solids - Total (TSS),6/09/2023 13:05,0.2,6.0,4
Suspended Solids - Total (TSS),15/08/2023 16:00,0.2,9.0,4
Suspended Solids - Total (TSS),10/08/2023 13:05,0.2,8.0,4
Suspended Solids - Total (TSS),2/08/2023 12:20,0.2,11.0,4
Suspended Solids - Total (TSS),6/07/2023 10:50,0.2,13.0,4
Suspended Solids - Total (TSS),19/07/2023 11:17,0.2,10.0,4
Suspended Solids - Total (TSS),20/04/2023 13:25,0.2,16.0,4
Suspended Solids - Total (TSS),7/06/2023 13:00,0.2,16.0,4
Suspended Solids - Total (TSS),24/05/2023 15:25,0.2,15.0,4
Suspended Solids - Total (TSS),28/04/2023 11:30,0.2,28.0,4
Suspended Solids - Total (TSS),5/04/2023 12:25,0.2,16.0,4
Suspended Solids - Total (TSS),22/06/2023 13:30,0.2,16.0,4
Suspended Solids - Total (TSS),12/05/2023 12:15,0.2,17.0,4
Suspended Solids - Total (TSS),14/04/2023 11:20,0.2,14.0,4
Suspended Solids - Total (TSS),31/03/2023 11:15,0.2,15.0,4
Suspended Solids - Total (TSS),20/03/2023 12:15,0.2,12.0,4
Suspended Solids - Total (TSS),30/08/2022 12:40,0.2,4.0,4
Suspended Solids - Total (TSS),27/05/2022 13:15,0.2,6.0,4
Suspended Solids - Total (TSS),29/04/2022 12:00,0.2,4.0,4
Suspended Solids - Total (TSS),22/06/2021 14:20,0.2,5.0,4
