Variable,Date,Depth,Data,QC
Cobalt - Total/NonFilt as Co,17/06/2008 14:50,0.2,0.0005,11
Cobalt - Total/NonFilt as Co,14/05/2008 11:25,0.2,0.0005,11
Cobalt - Total/NonFilt as Co,16/04/2008 14:00,0.2,0.0005,11
Cobalt - Total/NonFilt as Co,13/03/2008 13:30,0.2,0.0005,11
Cobalt - Total/NonFilt as Co,15/02/2008 13:30,0.2,0.0005,11
Cobalt - Total/NonFilt as Co,14/01/2008 12:30,0.2,0.0005,11
Cobalt - Total/NonFilt as Co,13/12/2007 14:30,0.2,0.0005,11
Cobalt - Total/NonFilt as Co,15/11/2007 12:50,0.2,0.0005,11
Cobalt - Total/NonFilt as Co,21/08/2007 13:08,0.2,0.0006,11
Cobalt - Total/NonFilt as Co,12/07/2007 13:00,0.2,0.0005,11
Cobalt - Total/NonFilt as Co,26/06/2007 0:00,0.2,0.0005,21
Cobalt - Total/NonFilt as Co,20/09/2007 0:00,0.2,5e-07,11
Cobalt - Total/NonFilt as Co,6/08/2007 0:00,0.2,1.1e-06,11
Cobalt - Total/NonFilt as Co,26/07/2007 0:00,0.2,5e-07,11
Cobalt - Total/NonFilt as Co,16/10/2007 0:00,0.2,7e-07,11
Cobalt - Total/NonFilt as Co,12/07/2007 13:00,0.2,0.0005,11
Cobalt - Total/NonFilt as Co,26/06/2007 0:00,0.2,0.0005,21
Cobalt - Total/NonFilt as Co,6/08/2007 0:00,0.2,1.1e-06,11
Cobalt - Total/NonFilt as Co,26/07/2007 0:00,0.2,5e-07,11
Cobalt - Total/NonFilt as Co,30/05/2007 12:45,0.2,0.0005,11
Cobalt - Total/NonFilt as Co,15/05/2007 11:45,0.2,5e-05,11
Cobalt - Total/NonFilt as Co,1/05/2007 16:20,0.2,0.0005,11
Cobalt - Total/NonFilt as Co,17/11/2004 10:10,0,1e-06,11
Cobalt - Total/NonFilt as Co,7/09/2004 10:10,0,1e-06,11
Cobalt - Total/NonFilt as Co,13/07/2004 0:00,0,1e-06,11
Cobalt - Total/NonFilt as Co,14/05/2003 9:10,0,1e-06,11
Cobalt - Total/NonFilt as Co,3/03/2003 9:30,0,1e-06,11
Cobalt - Total/NonFilt as Co,20/01/2003 9:05,0,1e-06,11
Cobalt - Total/NonFilt as Co,27/11/2002 13:15,0,1e-06,11
Cobalt - Total/NonFilt as Co,11/09/2002 13:30,,1e-06,11
Cobalt - Total/NonFilt as Co,30/07/2002 9:15,,1e-06,11
Cobalt - Total/NonFilt as Co,11/05/2001 12:00,,0.001,29
Cobalt - Total/NonFilt as Co,20/03/2001 12:00,,0.001,29
Cobalt - Total/NonFilt as Co,20/03/2001 12:00,,0.002,29
Cobalt - Total/NonFilt as Co,22/01/2001 12:00,,0.001,29
Cobalt - Total/NonFilt as Co,20/11/2000 12:00,,,140
Cobalt - Total/NonFilt as Co,18/09/2000 12:00,,0.002,11
Cobalt - Total/NonFilt as Co,4/05/1999 12:00,,0.001,21
Cobalt - Total/NonFilt as Co,10/03/1999 12:00,,0.001,21
Cobalt - Total/NonFilt as Co,12/01/1999 12:00,,0.001,21
Cobalt - Total/NonFilt as Co,24/11/1998 12:00,,0.001,21
Cobalt - Total/NonFilt as Co,15/09/1998 12:00,,0.001,21
