Variable,Date,Depth,Data,QC
Kjeldahl Nitrogen (TKN) as N - Total,1992-11-08 12:00:00,,,140
Kjeldahl Nitrogen (TKN) as N - Total,2000-07-24 12:00:00,,0.528,11
Kjeldahl Nitrogen (TKN) as N - Total,2000-09-18 12:00:00,,0.432,11
Kjeldahl Nitrogen (TKN) as N - Total,2000-11-20 12:00:00,,,140
Kjeldahl Nitrogen (TKN) as N - Total,2001-01-22 12:00:00,,0.315,29
Kjeldahl Nitrogen (TKN) as N - Total,2001-03-20 12:00:00,,0.36,29
Kjeldahl Nitrogen (TKN) as N - Total,2001-05-11 12:00:00,,0.382,29
Kjeldahl Nitrogen (TKN) as N - Total,2002-07-30 09:15:00,,0.245,11
Kjeldahl Nitrogen (TKN) as N - Total,2002-09-11 13:30:00,,0.233,11
Kjeldahl Nitrogen (TKN) as N - Total,2002-11-27 13:15:00,0,0.26,11
Kjeldahl Nitrogen (TKN) as N - Total,2003-01-20 09:05:00,0,0.289,11
Kjeldahl Nitrogen (TKN) as N - Total,2003-03-03 09:30:00,0,0.235,11
Kjeldahl Nitrogen (TKN) as N - Total,2003-05-14 09:10:00,0,0.222,11
Kjeldahl Nitrogen (TKN) as N - Total,2004-07-13 00:00:00,0,0.227,11
Kjeldahl Nitrogen (TKN) as N - Total,2004-09-07 10:10:00,0,0.226,11
Kjeldahl Nitrogen (TKN) as N - Total,2004-11-17 10:10:00,0,0.199,11
Kjeldahl Nitrogen (TKN) as N - Total,2007-05-01 16:20:00,0.2,0.336,11
Kjeldahl Nitrogen (TKN) as N - Total,2007-05-15 11:45:00,0.2,0.363,11
Kjeldahl Nitrogen (TKN) as N - Total,2007-05-30 12:45:00,0.2,0.547,11
Kjeldahl Nitrogen (TKN) as N - Total,2007-06-26 00:00:00,0.2,0.343,21
Kjeldahl Nitrogen (TKN) as N - Total,2007-06-26 00:00:00,0.2,0.343,21
Kjeldahl Nitrogen (TKN) as N - Total,2007-07-12 13:00:00,0.2,0.365,11
Kjeldahl Nitrogen (TKN) as N - Total,2007-07-12 13:00:00,0.2,0.365,11
Kjeldahl Nitrogen (TKN) as N - Total,2007-07-26 00:00:00,0.2,0.327,11
