Header,Value
Agency Name,Hydro Tasmania
Agency Code,HT
Program,Woods Lake WQ
Project,WLWQ
Tag,HT-WLWQ-CONT
Data File Name,SpillwayDischarge.csv
Location,data-lake/HT/Hydrology/
Station Status,Active
Lat,-42.080562
Long,147.004210
Time Zone,GMT +6
Vertical Datum,mAHD
National Station ID,462
Site Description,462
Deployment,Floating
Deployment Position,m from Surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00143
Data Category,Hydrology
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,SpillwayDischarge
QC,NaN
