"ID","name","date","time","chla_med","chla_mean","chla_max","chla_min","chla_std","blm_idx_med","blm_idx_mean","blm_idx_max","blm_idx_min","blm_idx_std"
"858","Arthurs Lake","2023-01-02","11:18:29","3.0","3.0","4.7","0.0","0.4","-0.00142","-0.00125","0.01064","-0.00757","0.00122"
"858","Arthurs Lake","2023-01-07","11:18:29","2.8","2.8","5.7","0.0","0.7","0.00041","0.00040","0.01507","-0.01481","0.00158"
"858","Arthurs Lake","2023-01-09","11:08:31","0.0","0.1","6.3","0.0","0.4","-0.00015","-0.00012","0.01501","-0.01043","0.00063"
"858","Arthurs Lake","2023-01-12","11:18:26","0.4","0.7","6.8","0.0","0.8","-0.00014","-0.00013","0.02251","-0.01655","0.00082"
"858","Arthurs Lake","2023-01-14","11:08:32","0.9","0.9","6.3","0.0","0.7","0.00013","0.00016","0.01185","-0.00541","0.00069"
"858","Arthurs Lake","2023-01-19","11:08:32","1.5","1.5","10.7","0.0","0.8","0.00013","0.00022","0.01688","-0.00979","0.00123"
"858","Arthurs Lake","2023-01-24","11:08:31","0.0","0.3","97.1","0.0","0.9","0.00018","0.00023","0.01406","-0.00983","0.00092"
"858","Arthurs Lake","2023-01-27","11:18:28","2.7","2.6","5.3","0.0","0.8","-0.00002","0.00010","0.01691","-0.01509","0.00165"
"858","Arthurs Lake","2023-02-03","11:08:33","1.1","1.4","9.8","0.0","1.2","0.00034","0.00056","0.02472","-0.01869","0.00225"
"858","Arthurs Lake","2023-02-06","11:18:29","2.1","2.1","6.9","0.0","0.9","0.00028","0.00048","0.01511","-0.01901","0.00184"
"858","Arthurs Lake","2023-02-11","11:18:29","0.0","0.1","10.1","0.0","0.5","0.00005","0.00010","0.01880","-0.00561","0.00076"
"858","Arthurs Lake","2023-02-18","11:08:33","0.0","0.2","11.1","0.0","0.5","-0.00001","0.00005","0.01740","-0.00261","0.00079"
"858","Arthurs Lake","2023-02-21","11:18:30","1.8","1.8","11.2","0.0","0.8","0.00029","0.00038","0.01481","-0.00515","0.00101"
"858","Arthurs Lake","2023-03-03","11:18:32","0.1","0.4","18.7","0.0","0.7","0.00021","0.00028","0.05240","-0.00508","0.00094"
"858","Arthurs Lake","2023-03-05","11:08:31","0.6","0.7","9.1","0.0","0.8","0.00025","0.00031","0.02012","-0.02031","0.00131"
"858","Arthurs Lake","2023-03-08","11:18:26","2.6","2.5","5.5","0.0","1.0","0.00020","0.00071","0.02627","-0.02126","0.00303"
"858","Arthurs Lake","2023-03-10","11:08:38","2.7","2.5","11.5","0.0","0.9","-0.00033","-0.00013","0.05062","-0.00753","0.00138"
"858","Arthurs Lake","2023-03-13","11:18:35","0.6","1.0","12.9","0.0","1.2","0.00027","0.00034","0.01946","-0.00987","0.00127"
"858","Arthurs Lake","2023-03-15","11:08:32","0.0","0.4","14.4","0.0","0.7","0.00032","0.00040","0.02279","-0.00290","0.00097"
"858","Arthurs Lake","2023-03-18","11:18:28","1.1","1.3","14.2","0.0","1.0","0.00004","0.00022","0.03030","-0.01292","0.00159"
"858","Arthurs Lake","2023-03-23","11:18:33","0.5","1.0","16.1","0.0","1.2","0.00005","0.00018","0.04060","-0.01807","0.00182"
"858","Arthurs Lake","2023-03-25","11:08:33","0.2","0.5","21.3","0.0","0.8","0.00057","0.00066","0.03947","-0.00242","0.00112"
"858","Arthurs Lake","2023-04-02","10:18:34","2.8","2.7","5.4","0.0","0.8","-0.00045","-0.00020","0.02036","-0.01056","0.00188"
"858","Arthurs Lake","2023-04-04","10:08:34","2.3","2.2","8.9","0.0","1.2","0.00019","0.00056","0.03398","-0.00425","0.00185"
"858","Arthurs Lake","2023-04-17","10:18:30","1.0","1.5","23.2","0.0","1.4","0.00052","0.00092","0.04391","-0.02214","0.00300"
"858","Arthurs Lake","2023-04-22","10:18:33","0.0","0.3","32.6","0.0","0.8","0.00015","0.00027","0.05290","-0.00374","0.00135"
"858","Arthurs Lake","2023-04-24","10:08:34","0.3","0.6","27.4","0.0","0.9","0.00066","0.00078","0.06126","-0.00309","0.00143"
"858","Arthurs Lake","2023-04-29","10:08:36","0.3","0.6","29.1","0.0","0.9","0.00016","0.00029","0.05123","-0.00492","0.00149"
"858","Arthurs Lake","2023-05-04","10:08:35","0.0","0.5","30.4","0.0","0.9","0.00036","0.00048","0.03903","-0.00436","0.00143"
"858","Arthurs Lake","2023-05-07","10:18:30","1.9","1.9","35.9","0.0","1.1","0.00037","0.00058","0.04265","-0.00522","0.00172"
"858","Arthurs Lake","2023-05-14","10:08:35","0.5","0.7","44.4","0.0","1.1","0.00049","0.00064","0.05437","-0.00498","0.00173"
"858","Arthurs Lake","2023-05-17","10:18:32","1.9","2.0","31.0","0.0","1.3","0.00040","0.00059","0.05537","-0.00965","0.00196"
"858","Arthurs Lake","2023-05-24","10:08:38","2.2","2.2","18.0","0.0","0.7","0.00007","0.00022","0.04948","-0.00638","0.00163"
"858","Arthurs Lake","2023-05-27","10:18:34","1.5","1.6","37.0","0.0","1.2","0.00069","0.00097","0.06200","-0.02077","0.00237"
"858","Arthurs Lake","2023-05-29","10:08:39","1.3","1.4","35.5","0.0","1.0","0.00049","0.00072","0.05366","-0.01470","0.00207"
"858","Arthurs Lake","2023-06-01","10:18:34","1.3","1.4","84.8","0.0","1.5","0.00058","0.00079","0.06712","-0.00690","0.00215"
"858","Arthurs Lake","2023-06-03","10:08:38","2.7","2.5","20.0","0.0","1.2","0.00101","0.00139","0.03743","-0.01083","0.00252"
"858","Arthurs Lake","2023-06-11","10:18:35","0.9","1.1","16.5","0.0","1.0","-0.00016","0.00001","0.02872","-0.00716","0.00144"
"858","Arthurs Lake","2023-06-16","10:18:35","1.4","1.5","13.6","0.0","1.1","0.00015","0.00040","0.04695","-0.02321","0.00231"
"858","Arthurs Lake","2023-06-18","10:08:39","0.7","1.0","25.7","0.0","1.1","0.00028","0.00044","0.03945","-0.00811","0.00182"
"858","Arthurs Lake","2023-06-26","10:18:34","2.7","2.7","11.0","0.0","1.1","0.00072","0.00145","0.02510","-0.01620","0.00344"
"858","Arthurs Lake","2023-06-28","10:08:39","2.6","2.5","6.2","0.0","1.2","0.00052","0.00136","0.03473","-0.01682","0.00369"
