ISOTime,Flow,Sal,Temp
01/01/2018 00:00,0.0000,0.0300,15.0735
02/01/2018 00:00,0.0000,0.0300,14.9871
03/01/2018 00:00,0.0000,0.0300,15.0842
04/01/2018 00:00,0.0000,0.0300,14.9668
05/01/2018 00:00,0.0000,0.0300,15.2997
06/01/2018 00:00,0.0000,0.0300,15.5113
07/01/2018 00:00,0.0000,0.0300,15.2940
08/01/2018 00:00,0.0000,0.0300,15.5244
09/01/2018 00:00,0.0000,0.0300,15.9747
10/01/2018 00:00,0.0000,0.0300,15.5492
11/01/2018 00:00,0.0000,0.0300,16.4419
12/01/2018 00:00,0.0000,0.0300,16.4574
13/01/2018 00:00,0.0000,0.0300,15.7636
14/01/2018 00:00,0.0000,0.0300,15.2024
15/01/2018 00:00,0.0000,0.0300,14.6916
16/01/2018 00:00,0.0000,0.0300,15.0677
17/01/2018 00:00,0.0000,0.0300,15.4255
18/01/2018 00:00,0.0000,0.0300,16.1679
19/01/2018 00:00,0.0000,0.0300,16.4570
20/01/2018 00:00,0.0000,0.0300,16.8389
21/01/2018 00:00,0.0000,0.0300,17.3757
22/01/2018 00:00,0.0000,0.0300,17.1113
23/01/2018 00:00,0.0000,0.0300,17.3195
24/01/2018 00:00,0.0000,0.0300,17.3419
25/01/2018 00:00,0.0000,0.0300,17.1637
26/01/2018 00:00,0.0000,0.0300,17.8031
27/01/2018 00:00,0.0000,0.0300,18.5341
28/01/2018 00:00,0.0000,0.0300,19.2324
29/01/2018 00:00,0.0000,0.0300,19.1908
30/01/2018 00:00,5.7647,0.0300,19.2308
31/01/2018 00:00,0.0000,0.0300,18.1226
01/02/2018 00:00,0.0000,0.0300,16.9222
02/02/2018 00:00,0.0000,0.0300,16.7082
03/02/2018 00:00,0.0000,0.0300,16.7287
04/02/2018 00:00,0.0000,0.0300,17.4021
05/02/2018 00:00,0.0000,0.0300,17.1736
06/02/2018 00:00,0.0000,0.0300,17.1842
07/02/2018 00:00,0.0000,0.0300,17.6589
08/02/2018 00:00,0.0000,0.0300,17.9733
09/02/2018 00:00,0.0000,0.0300,17.7575
10/02/2018 00:00,0.0000,0.0300,17.8508
11/02/2018 00:00,0.0000,0.0300,17.4349
12/02/2018 00:00,0.0000,0.0300,17.1675
13/02/2018 00:00,0.0000,0.0300,17.0259
14/02/2018 00:00,0.0000,0.0300,17.0588
15/02/2018 00:00,0.0000,0.0300,15.9960
16/02/2018 00:00,0.0000,0.0300,15.4328
17/02/2018 00:00,0.0000,0.0300,14.8040
18/02/2018 00:00,0.0000,0.0300,15.0245
19/02/2018 00:00,0.0000,0.0300,14.6805
20/02/2018 00:00,0.0000,0.0300,14.7949
21/02/2018 00:00,0.0000,0.0100,15.5309
22/02/2018 00:00,0.0000,0.0100,16.1241
23/02/2018 00:00,0.0000,0.0100,16.1261
24/02/2018 00:00,0.0000,0.0100,15.4336
25/02/2018 00:00,0.0000,0.0100,15.1822
26/02/2018 00:00,0.0000,0.0100,14.9399
27/02/2018 00:00,0.0000,0.0100,15.4228
28/02/2018 00:00,0.0000,0.0100,15.1319
01/03/2018 00:00,0.0000,0.0100,14.9236
02/03/2018 00:00,0.0000,0.0100,14.7169
03/03/2018 00:00,0.0000,0.0100,15.7574
04/03/2018 00:00,0.0000,0.0100,15.7259
