Params.Name,Params.Units in dataset,Conv,Key,Key Value,Notes,Category
chla_med,ug/L,1,var00938,Chlorophyll-a (median),,Water Quality (Nutrient)
chla_mean,ug/L,1,var00014,Chlorophyll-a,,Water Quality (Nutrient)
chla_max,ug/L,1,var00939,Chlorophyll-a (maximum),,Water Quality (Nutrient)
chla_min,ug/L,1,var00940,Chlorophyll-a (minimum),,Water Quality (Nutrient)
chla_std,ug/L,1,var00941,Chlorophyll-a (standard deviation),,Water Quality (Nutrient)
blm_idx_med,,1,var00942,Bloom Index (median),,Water Quality (Nutrient)
blm_idx_mean,,1,var00936,Bloom Index,,Water Quality (Nutrient)
blm_idx_max,,1,var00943,Bloom Index (maximum),,Water Quality (Nutrient)
blm_idx_min,,1,var00944,Bloom Index (minimum),,Water Quality (Nutrient)
blm_idx_std,,1,var00945,Bloom Index (standard deviation),,Water Quality (Nutrient)
