Header,Value
Agency Name,Hydro Tasmania
Agency Code,HT
Program,BOM
Project,MET
Tag,HT-MET
Data File Name,BOMIDC_Precipitation_profile_Data.csv
Location,data-warehouse/csv/ht/met
Station Status,Active
Lat,-41.90
Long,146.67
Time Zone,GMT +6
Vertical Datum,mAHD
National Station ID,96033
Site Description,96033
Deployment,Profile
Deployment Position,m from Surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00152
Data Category,Meteorology
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,IDCJAC0009
QC,Y/N
