Header,Value
Agency Name,Hydro Tasmania
Agency Code,HT
Program,BOM
Project,MET
Tag,HT-MET
Data File Name,Humidity.csv
Location,data-lake/BOM/HT/Hourly aggregate/
Station Status,Active
Lat,-42.080562
Long,147.004210
Time Zone,GMT +6
Vertical Datum,mAHD
National Station ID,462
Site Description,462
Deployment,Profile
Deployment Position,m from Surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00156
Data Category,Meteorology
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Humidity
QC,NaN
